Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141142,114114,Fresh pears,Poires fraîches,Fresh pears.,Poires fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141143,114114,Fresh plums and prune plums,Prunes et prunes à pruneaux fraîches,Fresh plums and prune plums.,Prunes et prunes à pruneaux fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141144,114114,"Fresh peaches, nectarines and apricots","Pêches, nectarines et abricots frais","Fresh peaches, nectarines and apricots.","Pêches, nectarines et abricots frais."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141145,114114,Fresh cherries,Cerises fraîches,Fresh cherries.,Cerises fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141146,114114,Other fresh pome and stone fruit,Autres fruits à pépins et à noyau frais,Other fresh pome and stone fruit.,Autres fruits à pépins et à noyau frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141147,114114,Fresh grapes,Raisins frais,Fresh grapes.,Raisins frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141148,114114,"Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a.","Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114115,11411,Nuts,Noix,This subclass comprises nuts.,Cette sous-classe comprend les noix.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141151,114115,Peanuts,Arachides,Peanuts shelled or in shell.,Arachides décortiquées ou en coque.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141152,114115,Hazelnuts,Noisettes,Hazelnuts shelled or in shell.,Noisettes décortiquées ou en coque.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141153,114115,Other nuts,Autres noix,"Nuts shelled or in shell, other than peanuts and hazelnuts.","Noix décortiquées ou en coque, autres que les arachides et les noisettes."
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11421,114,Fresh potatoes,Pommes de terre fraîches,This class comprises fresh potatoes.,Cette classe comprend les pommes de terre fraîches.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114211,11421,Fresh potatoes,Pommes de terre fraîches,This subclass comprises fresh potatoes.,Cette sous-classe comprend les pommes de terre fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142111,114211,Fresh potatoes for table consumption,Pommes de terre fraîches aux fins de consommation,Fresh potatoes for table consumption.,Pommes de terre fraîches aux fins de consommation.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142112,114211,Fresh potatoes for processing,Pommes de terre fraîches aux fins de transformation,Fresh potatoes for processing.,Pommes de terre fraîches aux fins de transformation.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142113,114211,Fresh potatoes for seed,Pommes de terre fraîches pour la semence,Fresh potatoes for seed.,Pommes de terre fraîches pour la semence.
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11422,114,Fresh vegetables (except potatoes and pulse crops),Légumes frais (sauf les pommes de terre et les légumineuses de culture),"This class comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.","Cette classe comprend les légumes frais, sauf les pommes de terre et les légumineuses de culture. Les légumes sont des cultures temporaires destinées principalement à la consommation humaine, tant à titre de grandes cultures que de cultures de légumes, se trouvant dans des champs et des serres. Certaines plantes graminées et légumineuses, si elles sont récoltées précocement pour leurs grains verts ou leurs gousses vertes (par exemple, pois verts, haricots d'Espagne, maïs vert) sont traitées comme des légumes frais, mais si elles sont récoltées pour leurs grains secs ou leurs semences, elles sont considérées comme des céréales et des légumineuses de culture."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114221,11422,Fresh vegetables (except potatoes and pulse crops),Légumes frais (sauf les pommes de terre et les légumineuses de culture),"This subclass comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.","Cette sous-classe comprend les légumes frais, sauf les pommes de terre et les légumineuses de culture. Les légumes sont des cultures temporaires destinées principalement à la consommation humaine, tant à titre de grandes cultures que de cultures de légumes, se trouvant dans des champs et des serres. Certaines plantes graminées et légumineuses, si elles sont récoltées précocement pour leurs grains verts ou leurs gousses vertes (par exemple, pois verts, haricots d'Espagne, maïs vert) sont traitées comme des légumes frais, mais si elles sont récoltées pour leurs grains secs ou leurs semences, elles sont considérées comme des céréales et des légumineuses de culture."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142211,114221,Fresh root type vegetables,Légumes frais de type racine,Fresh root type vegetables.,Légumes frais de type racine.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142212,114221,Fresh bulb type vegetables,Légumes frais de type bulbe,Fresh bulb type vegetables.,Légumes frais de type bulbe.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142213,114221,Fresh leaf and stem type vegetables,Légumes frais de type feuille et tige,Fresh leaf and stem type vegetables.,Légumes frais de type feuille et tige.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142214,114221,Fresh melons,Melons frais,Fresh melons.,Melons frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142215,114221,Fresh fruit type vegetables (except melons),Légumes frais de type fruit (sauf les melons),"Fresh fruit type vegetables, except melons.","Légumes frais de type fruit, sauf les melons."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142216,114221,Green leguminous vegetables,Légumes à gousse verts,"Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable), harvested while green for their green grains or for their green pods, mainly for human consumption.","Plantes légumineuses et graminées fraîches ou légumes sous forme de graines (légumes-gousses), récoltés précocement pour leurs grains verts ou leurs gousses vertes, principalement pour la consommation humaine."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142217,114221,Fresh mushrooms (including truffles),Champignons frais (y compris les truffes),Fresh mushrooms and truffles.,Champignons et truffes frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1142218,114221,"Other fresh vegetables, n.e.c.","Autres légumes frais, n.c.a.","Other fresh vegetables, n.e.c.","Autres légumes frais, n.c.a."
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11431,114,Pulse crops (except soybeans),Légumineuses de culture (sauf le soya),"This class comprises pulse crops, which are dry annual leguminous plants or edible seeds, harvested from pods, and primarily for the use in food processing, as both human food and animal feed.","Cette classe comprend les légumineuses de culture, qui sont des plantes légumineuses sèches annuelles ou des graines comestibles, récoltées à même les gousses, et utilisées principalement pour la transformation des aliments, comme aliments destinés à la consommation humaine et animale."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114311,11431,Chickpeas,Pois chiches,This subclass comprises chickpeas.,Cette sous-classe comprend les pois chiches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143111,114311,"Chickpeas, Desi",Pois chiches Desi,"Chickpeas, Desi.",Pois chiches Desi.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143112,114311,"Chickpeas, Kabuli",Pois chiches Kabuli,"Chickpeas, Kabuli.",Pois chiches Kabuli.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143113,114311,Other chickpeas,Autres pois chiches,Other chickpeas.,Autres pois chiches.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114312,11431,Lentils,Lentilles,This subclass comprises lentils.,Cette sous-classe comprend les lentilles.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143121,114312,Large green lentils,Grosses lentilles vertes,Large green lentils.,Grosses lentilles vertes.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143122,114312,Red lentils,Lentilles rouges,Red lentils.,Lentilles rouges.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143123,114312,Small green lentils,Petites lentilles vertes,Small green lentils.,Petites lentilles vertes.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143124,114312,Other lentils,Autres lentilles,Other lentils.,Autres lentilles.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114313,11431,Dry beans,Haricots secs,This subclass comprises dry beans.,Cette sous-classe comprend les haricots secs.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143131,114313,Dry white beans,Haricots secs blancs,Dry white beans.,Haricots secs blancs.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143132,114313,Dry coloured beans,Haricots secs de couleur,Dry coloured beans.,Haricots secs de couleur.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114314,11431,Dry peas,Pois secs,This subclass comprises dry peas.,Cette sous-classe comprend les pois secs.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143141,114314,Yellow dry peas,Pois secs jaunes,Yellow dry peas.,Pois secs jaunes.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143142,114314,Green dry peas,Pois secs verts,Green dry peas.,Pois secs verts.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143143,114314,Other dry peas,Autres pois secs,Other dry peas.,Autres pois secs.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114315,11431,Other pulse crops,Autres légumineuses de culture,This subclass comprises other pulse crops.,Cette sous-classe comprend les autres légumineuses de culture.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143151,114315,Faba beans,Féveroles,Faba beans.,Féveroles.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1143152,114315,"Other pulse crops, n.e.c.","Autres légumineuses de culture, n.c.a.","Other pulse crops, n.e.c.","Autres légumineuses de culture, n.c.a."
2,Group (three-digit standard codes and four-character alphanumeric codes),Groupe (codes types à trois chiffres,115,M11,Other crop products,Autres produits végétaux,This group comprises crop products n.e.c.,Ce groupe comprend les produits végétaux n.c.a.
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11511,115,Grains (except wheat),Grains (sauf le blé),"This class comprises unmilled cereal type grains, except wheat.","Cette classe comprend les grains non moulus de type céréalier, sauf le blé."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115111,11511,Corn for grain,Maïs-grain,This subclass comprises unmilled corn for grain.,Cette sous-classe comprend le maïs-grain non moulu.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151111,115111,Corn for grain,Maïs-grain,Unmilled corn for grain.,Maïs-grain non moulu.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115112,11511,Unmilled rice,Riz non moulu,This subclass comprises unmilled rice.,Cette sous-classe comprend le riz non moulu.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151121,115112,Unmilled rice,Riz non moulu,Unmilled rice.,Riz non moulu.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115113,11511,Oats,Avoine,"This subclass comprises unmilled oats, hulless and unhulled.","Cette sous-classe comprend l'avoine non moulue, à grains nus ou non mondée."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151131,115113,Oats,Avoine,"Unmilled oats, hulless and unhulled.","Avoine non moulue, à grains nus ou non mondée."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115114,11511,Barley,Orge,"This subclass comprises unmilled barley, hulless and unhulled.","Cette sous-classe comprend l'orge non moulu, à grains nus ou non mondé."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151141,115114,Barley,Orge,"Unmilled barley, hulless and unhulled.","Orge non moulu, à grains nus ou non mondé."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115115,11511,"Other grains, n.e.c.","Autres grains, n.c.a.",This subclass comprises unmilled grains n.e.c.,Cette sous-classe comprend les grains non moulus n.c.a.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151151,115115,Mixed grain,Grain mélangé,Unmilled mixed cereal grain.,Grain mélangé non moulu de céréales.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151152,115115,Rye,Seigle,Unmilled rye.,Seigle non moulu.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151153,115115,Triticale,Triticale,Unmilled triticale.,Triticale non moulu.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151154,115115,Wild rice,Riz sauvage,Unmilled wild rice.,Riz sauvage non moulu.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151155,115115,Other miscellaneous grains,Autres grains divers,Other miscellaneous unmilled grains.,Autres grains divers non moulus.
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11512,115,Oilseeds (except canola),Graines oléagineuses (sauf le canola),"This class comprises oilseeds, except canola.","Cette classe comprend les graines oléagineuses, sauf le canola."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115121,11512,Soybeans,Soya,This subclass comprises unprocessed soybeans.,Cette sous-classe comprend les graines de soya non transformées.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151211,115121,Soybeans,Soya,Unprocessed soybeans.,Graines de soya non transformées.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115122,11512,Oilseeds (except canola and soybeans),Graines oléagineuses (sauf le canola et le soya),"This subclass comprises oilseeds, except canola and soybeans.","Cette sous-classe comprend les graines oléagineuses, sauf le canola et le soya."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151221,115122,Flaxseed,Graines de lin,Unprocessed flaxseed.,Graines de lin non transformées.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151222,115122,Solin,Solin,Unprocessed solin.,Solin non transformé.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151223,115122,Sunflower seeds,Graines de tournesol,Unprocessed sunflower seeds.,Graines de tournesol non transformées.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151224,115122,Other oilseeds,Autres graines oléagineuses,Other unprocessed oilseeds.,Autres graines oléagineuses non transformées.
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11513,115,Other miscellaneous crop products,Autres produits végétaux divers,This class comprises other miscellaneous crop products.,Cette classe comprend les autres produits végétaux divers.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115131,11513,Unstemmed leaf tobacco,Tabac en côtes,This subclass comprises unstemmed leaf tobacco.,Cette sous-classe comprend le tabac en feuilles non écôté.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151311,115131,Unstemmed leaf tobacco,Tabac en côtes,Unstemmed leaf tobacco.,Tabac en feuilles non écôté.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115132,11513,Sugar cane and sugar beets,Canne à sucre et betteraves à sucre,This subclass comprises sugar cane and sugar beets.,Cette sous-classe comprend la canne à sucre et les betteraves à sucre.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151321,115132,Sugar cane,Canne à sucre,Sugar cane.,Canne à sucre.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151322,115132,Sugar beets,Betteraves à sucre,Sugar beets.,Betteraves à sucre.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115133,11513,Raw tea,Thé brut,"This subclass comprises raw tea, except packaged and prepared.","Cette sous-classe comprend le thé brut, sauf emballé et préparé."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151331,115133,Raw tea,Thé brut,"Raw tea, except packaged and prepared.","Thé brut, sauf emballé et préparé."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115134,11513,Cocoa beans,Fèves de cacao,This subclass comprises cocoa beans.,Cette sous-classe comprend les fèves de cacao.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151341,115134,Cocoa beans,Fèves de cacao,Cocoa beans.,Fèves de cacao.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115135,11513,Green coffee beans,Fèves de café vert,This subclass comprises green coffee beans.,Cette sous-classe comprend les fèves de café vert.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151351,115135,Green coffee beans,Fèves de café vert,Green coffee beans.,Fèves de café vert.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115136,11513,Maple syrup and other maple products,Sirop d'érable et autres produits de l'érable,This subclass comprises maple syrup and other maple products.,Cette sous-classe comprend le sirop d'érable et les autres produits de l'érable.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151361,115136,Maple syrup,Sirop d'érable,Maple syrup.,Sirop d'érable.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151362,115136,Maple butter,Beurre d'érable,Maple butter.,Beurre d'érable.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151363,115136,Maple sugar,Sucre d'érable,Maple sugar.,Sucre d'érable.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151364,115136,Maple taffy,Tire d'érable,Maple taffy.,Tire d'érable.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151365,115136,"Other maple products, n.e.c.","Autres produits de l'érable, n.c.a.","Other maple products, n.e.c.","Autres produits de l'érable, n.c.a."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115137,11513,Raw cotton,Coton brut,This subclass comprises raw cotton.,Cette sous-classe comprend le coton brut.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151371,115137,Raw cotton,Coton brut,Raw cotton.,Coton brut.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115138,11513,Hay and forage,Foin et fourrage,This subclass comprises hay and forage.,Cette sous-classe comprend le foin et le fourrage.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151381,115138,"Hay, forage seeds and grass seeds","Foin, graines de fourrage et de graminées","Hay, forage seeds and grass seeds.","Foin, graines de fourrage et de graminées."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151382,115138,Corn for silage,Maïs à ensilage,Corn for silage.,Maïs à ensilage.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151383,115138,Unworked straw,Paille brute,Unworked straw.,Paille brute.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151384,115138,"Other forage, n.e.c.","Autre fourrage, n.c.a.","Other forage, n.e.c.","Autre fourrage, n.c.a."
