Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111113,1111111,Other cattle,Autres bovins,"Other live beef and dairy cattle, 1 year and over, n.e.c.","Autres bovins de boucherie et bovins laitiers vivants, un an et plus, n.c.a."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111131,11111113,Other cattle,Autres bovins,"Other live beef and dairy cattle, 1 year and over, n.e.c.","Autres bovins de boucherie et bovins laitiers vivants, un an et plus, n.c.a."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111112,111111,Calves,Veaux,"Live calves, under 1 year.","Veaux vivants, de moins d'un an."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111121,1111112,Calves for slaughter,Veaux pour l'abattage,"Live calves, under 1 year, for slaughter.","Veaux vivants, moins d'un an, pour l'abattage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111211,11111121,Calves for slaughter,Veaux pour l'abattage,"Live calves, under 1 year, for slaughter.","Veaux vivants, moins d'un an, pour l'abattage."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111122,1111112,Calves for feeding,Veaux pour l'engraissement,"Live calves, under 1 year, for feeding.","Veaux vivants, moins d'un an, pour l'engraissement."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111221,11111122,Calves for feeding,Veaux pour l'engraissement,"Live calves, under 1 year, for feeding.","Veaux vivants, moins d'un an, pour l'engraissement."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111123,1111112,Other calves,Autres veaux,"Other live calves, under 1 year, n.e.c.","Autres veaux vivants, moins d'un an, n.c.a."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111231,11111123,Other calves,Autres veaux,"Other live calves, under 1 year, n.e.c.","Autres veaux vivants, moins d'un an, n.c.a."
2,Class (five-digit standard codes or six-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six caractères alphanumériques),11112,111,Hogs,Porcs,This class comprises live porcine animals.,Cette classe comprend les porcins vivants.
3,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),111121,11112,Hogs,Porcs,This subclass comprises live porcine animals.,Cette sous-classe comprend les porcins vivants.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111211,111121,Hogs for breeding,Porcs pour la reproduction,Live porcine animals raised for breeding.,Porcins vivants élevés pour la reproduction.
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112111,1111211,Hogs for breeding,Porcs pour la reproduction,Live porcine animals raised for breeding.,Porcins vivants élevés pour la reproduction.
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111121111,11112111,Hogs for breeding,Porcs pour la reproduction,Live porcine animals raised for breeding.,Porcins vivants élevés pour la reproduction.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111212,111121,Nursing and weaner hogs,Porcelets allaités et sevrés,"Live young pigs and piglets, weaned and unweaned, raised for meat production.","Jeunes porcs et porcelets vivants, sevrés et non sevrés, élevés pour la production de viande."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112121,1111212,Nursing hogs,Porcelets allaités,"Live nursing hogs, less than 7 kg.","Porcelets vivants allaités, moins de 7 kg."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111121211,11112121,Nursing hogs,Porcelets allaités,"Live nursing hogs, less than 7 kg.","Porcelets vivants allaités, moins de 7 kg."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112122,1111212,Weaner hogs,Porcelets sevrés,"Live weaner hogs, 7 to 22 kg.","Porcelets vivants sevrés, 7 à 22 kg."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111121221,11112122,Weaner hogs,Porcelets sevrés,"Live weaner hogs, 7 to 22 kg.","Porcelets vivants sevrés, 7 à 22 kg."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111213,111121,Market hogs,Porcs de marché,"Live porcine animals 23 kg and over, raised for meat production.","Porcins vivants, 23 kg et plus, élevés pour la production de viande."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112131,1111213,Market hogs,Porcs de marché,"Live porcine animals, 23 kg and over, raised for meat production.","Porcins vivants, 23 kg et plus, élevés pour la production de viande."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111121311,11112131,Market hogs,Porcs de marché,"Live porcine animals, 23 kg and over, raised for meat production.","Porcins vivants, 23 kg et plus, élevés pour la production de viande."
2,Class (five-digit standard codes or six-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six caractères alphanumériques),11113,111,Poultry,Volailles,This class comprises live poultry.,Cette classe comprend les volailles vivantes.
3,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),111131,11113,Chickens,Poulets,This subclass comprises live chickens.,Cette sous-classe comprend les poulets vivants.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111311,111131,Chickens for breeding,Poulets pour la reproduction,Live chickens raised for breeding.,Poulets vivants élevés pour la reproduction.
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113111,1111311,Chickens for breeding,Poulets pour la reproduction,Live chickens raised for breeding.,Poulets vivants élevés pour la reproduction.
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111131111,11113111,Chickens for breeding,Poulets pour la reproduction,Live chickens raised for breeding.,Poulets vivants élevés pour la reproduction.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111312,111131,Hens and pullets for laying eggs,Poules et poulettes pour la ponte,Live hens and pullets raised for egg production.,Poules et poulettes vivantes élevées pour la production d'oeufs.
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113121,1111312,Hens and pullets for laying eggs,Poules et poulettes pour la ponte,Live hens and pullets raised for egg production.,Poules et poulettes vivantes élevées pour la production d'oeufs.
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111131211,11113121,Hens and pullets for laying eggs,Poules et poulettes pour la ponte,Live hens and pullets raised for egg production.,Poules et poulettes vivantes élevées pour la production d'oeufs.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111313,111131,Chickens for meat,Poulets pour la viande,Live chickens raised for meat production.,Poulets vivants élevés pour la production de viande.
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113131,1111313,Chickens for meat,Poulets pour la viande,Live chickens raised for meat production.,Poulets vivants élevés pour la production de viande.
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111131311,11113131,Broilers for meat,Poulets à griller pour la viande,"Live broilers, less than 2.7 kg, raised for meat production.","Poulets à griller vivants, moins de 2,7 kg, élevés pour la production de viande."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111131312,11113131,Heavies for meat,Poulets lourds pour la viande,"Live heavies, 2.7 kg and more, raised for meat production.","Poulets lourds vivants, 2,7 kg et plus, élevés pour la production de viande."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111131313,11113131,Stewing hens,Poules à bouillir,"Live layers or breeders, at the end of their production, for meat production.","Poules vivantes, pour la ponte ou la reproduction, en fin de période active, pour la production de viande."
3,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),111132,11113,Turkeys,Dindes et dindons,This subclass comprises live turkeys.,Cette sous-classe comprend les dindes et les dindons vivants.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111321,111132,Turkeys for breeding,Dindes et dindons pour la reproduction,Live turkeys raised for breeding.,Dindes et dindons vivants élevés pour la reproduction.
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113211,1111321,Turkeys for breeding,Dindes et dindons pour la reproduction,Live turkeys raised for breeding.,Dindes et dindons vivants élevés pour la reproduction.
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111132111,11113211,Turkeys for breeding,Dindes et dindons pour la reproduction,Live turkeys raised for breeding.,Dindes et dindons vivants élevés pour la reproduction.
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111322,111132,Turkeys for meat,Dindes et dindons pour la viande,Live turkeys raised for meat production.,Dindes et dindons vivants élevés pour la production de viande.
