Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1151152,115115AA,Rye,Seigle,Unmilled rye.,Seigle non moulu.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11511521,1151152,Spring rye,Seigle de printemps,Unmilled spring rye.,Seigle de printemps non moulu.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11511522,1151152,Fall rye,Seigle d'automne,Unmilled fall rye.,Seigle d'automne non moulu.
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A12,,Oilseeds,Oléagineux,"This section comprises canola (including rapeseed), and unprocessed soybeans and flaxseed.","Cette section comprend le canola (y compris le colza), et les graines de soya et de lin non transformées."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),113,A12,Canola (including rapeseed),Canola (y compris le colza),This group comprises canola and rapeseed.,Ce groupe comprend le canola et le colza.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11311,113,Canola (including rapeseed),Canola (y compris le colza),This class comprises canola and rapeseed.,Cette classe comprend le canola et le colza.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),113111,11311,Canola (including rapeseed),Canola (y compris le colza),This subclass comprises canola and rapeseed.,Cette sous-classe comprend le canola et le colza.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1131111,113111,Canola,Canola,"Canola, except rapeseed.","Canola, sauf le colza."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11311111,1131111,Genetically modified canola,Canola génétiquement modifié,"Genetically modified canola, except rapeseed.","Canola génétiquement modifié, sauf le colza."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11311112,1131111,Non-genetically modified canola,Canola non génétiquement modifié,"Non-genetically modified canola, except rapeseed.","Canola non génétiquement modifié, sauf le colza."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1131112,113111,Rapeseed (except canola),Colza (sauf le canola),"Rapeseed, except canola.","Colza, sauf le canola."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11311121,1131112,Rapeseed (except canola),Colza (sauf le canola),"Rapeseed, except canola.","Colza, sauf le canola."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),115AB,A12,Soybeans and flaxseed,Soya et graines de lin,This group comprises unprocessed soybeans and flaxseed.,Ce groupe comprend les graines de soya et de lin non transformées.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11512AA,115AB,Soybeans and flaxseed,Soya et graines de lin,This class comprises unprocessed soybeans and flaxseed.,Cette classe comprend les graines de soya et de lin non transformées.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),115121,11512AA,Soybeans,Soya,This subclass comprises unprocessed soybeans.,Cette sous-classe comprend les graines de soya non transformées.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1151211,115121,Soybeans,Soya,Unprocessed soybeans.,Graines de soya non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11512111,1151211,Genetically modified soybeans,Soya génériquement modifié,"Unprocessed soybeans, genetically modified.","Graines de soya non transformées, génétiquement modifiées."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11512112,1151211,Non-genetically modified soybeans,Soya non génériquement modifié,"Unprocessed soybeans, non-genetically modified.","Graines de soya non transformées, non génétiquement modifiées."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),115122AA,11512AA,Flaxseed,Graines de lin,This subclass comprises unprocessed flaxseed.,Cette sous-classe comprend les graines de lin non transformées.
