Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411156,1141115,Fresh currants,Groseilles à grappe fraîches,Fresh currants.,Groseilles à grappe fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411157,1141115,Fresh haskap,Camerise fraîches,Fresh haskap.,Camerise fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411158,1141115,Fresh kiwis,Kiwis frais,Fresh kiwis.,Kiwis frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411159,1141115,"Other fresh berries, n.e.c.","Autres baies fraîches, n.c.a.","Other fresh berries, n.e.c.","Autres baies fraîches, n.c.a."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114112,11411A,Fresh citrus fruit,Agrumes frais,This subclass comprises fresh citrus fruit.,Cette sous-classe comprend les agrumes frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141121,114112,Fresh oranges,Oranges fraîches,Fresh oranges.,Oranges fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411211,1141121,"Fresh oranges (except tangerines, clementines and mandarins)","Oranges fraîches (sauf les tangerines, clémentines et mandarines)","Fresh oranges, except tangerines, clementines and mandarins.","Oranges fraîches, sauf les tangerines, clémentines et mandarines."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411212,1141121,Fresh tangerines,Tangerines fraîches,Fresh tangerines.,Tangerines fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411213,1141121,Fresh clementines,Clémentines fraîches,Fresh clementines.,Clémentines fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411214,1141121,Fresh mandarins,Mandarines fraîches,Fresh mandarins.,Mandarines fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141122,114112,Other fresh citrus fruit,Autres agrumes frais,Other fresh citrus fruit.,Autres agrumes frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411221,1141122,Fresh lemons,Citrons frais,Fresh lemons.,Citrons frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411222,1141122,Fresh grapefruits,Pamplemousses frais,Fresh grapefruits.,Pamplemousses frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411223,1141122,Fresh limes,Limes fraîches,Fresh limes.,Limes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411224,1141122,"Other fresh citrus fruit, n.e.c.","Autres agrumes frais, n.c.a.","Other fresh citrus fruit, n.e.c.","Autres agrumes frais, n.c.a."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114113,11411A,Fresh tropical and semitropical fruit (except citrus fruit),Fruits tropicaux et semi-tropicaux frais (sauf les agrumes),"This subclass comprises fresh tropical and semitropical fruit, except citrus fruit.","Cette sous-classe comprend les fruits tropicaux et semi-tropicaux frais, sauf les agrumes."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141131,114113,Fresh bananas,Bananes fraîches,Fresh bananas.,Bananes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411311,1141131,Fresh bananas,Bananes fraîches,Fresh bananas.,Bananes fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141132,114113,Fresh pineapples,Ananas frais,Fresh pineapples.,Ananas frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411321,1141132,Fresh pineapples,Ananas frais,Fresh pineapples.,Ananas frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141133,114113,Fresh olives,Olives fraîches,Fresh olives.,Olives fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411331,1141133,Fresh olives,Olives fraîches,Fresh olives.,Olives fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141134,114113,Other fresh tropical and semitropical fruit,Autres fruits tropicaux et semi-tropicaux frais,Other fresh tropical and semitropical fruit.,Autres fruits tropicaux et semi-tropicaux frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411341,1141134,Fresh dates,Dattes fraîches,Fresh dates.,Dattes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411342,1141134,Fresh figs,Figues fraîches,Fresh figs.,Figues fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411343,1141134,Fresh mangoes,Mangues fraîches,Fresh mangoes.,Mangues fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411344,1141134,Fresh papayas,Papayes fraîches,Fresh papayas.,Papayes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411345,1141134,Fresh avocados,Avocats frais,Fresh avocados.,Avocats frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411346,1141134,"Other fresh tropical and semitropical fruit, n.e.c.","Autres fruits tropicaux et semi-tropicaux frais, n.c.a.","Other fresh tropical and semitropical fruit, n.e.c.","Autres fruits tropicaux et semi-tropicaux frais, n.c.a."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114114,11411A,Other fresh fruit,Autres fruits frais,This subclass comprises fresh fruit n.e.c.,Cette sous-classe comprend les fruits frais n.c.a.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141141,114114,Fresh apples,Pommes fraîches,Fresh apples.,Pommes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411411,1141141,Fresh apples,Pommes fraîches,Fresh apples.,Pommes fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141142,114114,Fresh pears,Poires fraîches,Fresh pears.,Poires fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411421,1141142,Fresh pears,Poires fraîches,Fresh pears.,Poires fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141143,114114,Fresh plums and prune plums,Prunes et prunes à pruneaux fraîches,Fresh plums and prune plums.,Prunes et prunes à pruneaux fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411431,1141143,Fresh plums (except prune plums),Prunes fraîches (sauf les prunes à pruneaux),Fresh plums (except prune plums).,Prunes fraîches (sauf les prunes à pruneaux).
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411432,1141143,Fresh prune plums,Prunes à pruneaux fraîches,Fresh prune plums.,Prunes à pruneaux fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141144,114114,"Fresh peaches, nectarines and apricots","Pêches, nectarines et abricots frais","Fresh peaches, nectarines and apricots.","Pêches, nectarines et abricots frais."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411441,1141144,Fresh peaches,Pêches fraîches,Fresh peaches.,Pêches fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411442,1141144,Fresh nectarines,Nectarines fraîches,Fresh nectarines.,Nectarines fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411443,1141144,Fresh apricots,Abricots frais,Fresh apricots.,Abricots frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141145,114114,Fresh cherries,Cerises fraîches,Fresh cherries.,Cerises fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411451,1141145,Fresh sweet cherries,Cerises douces fraîches,Fresh sweet cherries.,Cerises douces fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411452,1141145,Fresh sour cherries,Cerises aigres fraîches,Fresh sour cherries.,Cerises aigres fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141146,114114,Other fresh pome and stone fruit,Autres fruits à pépins et à noyau frais,Other fresh pome and stone fruit.,Autres fruits à pépins et à noyau frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411461,1141146,Other fresh pome and stone fruit,Autres fruits à pépins et à noyau frais,Other fresh pome and stone fruit.,Autres fruits à pépins et à noyau frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141147,114114,Fresh grapes,Raisins frais,Fresh grapes.,Raisins frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411471,1141147,Fresh Labrusca grapes,Raisins Labrusca frais,Fresh Labrusca grapes.,Raisins Labrusca frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411472,1141147,"Fresh vinifera, fresh French hybrid grapes","Raisins vinifera frais, raisins hybrides français frais","Fresh vinifera, fresh French hybrid grapes.","Raisins vinifera frais, raisins hybrides français frais."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411473,1141147,Other fresh grapes,Autres raisins frais,Other fresh grapes.,Autres raisins frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141148,114114,"Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a.","Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411481,1141148,"Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a.","Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a."
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A15,,Fresh vegetables (except potatoes and pulse crops),Légumes frais (sauf les pommes de terre et les légumineuses de culture),"This section comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.","Cette section comprend les légumes frais, sauf les pommes de terre et les légumineuses de culture. Les légumes sont des cultures temporaires destinées principalement à la consommation humaine, tant à titre de grandes cultures que de cultures de légumes, se trouvant dans des champs et des serres. Certaines plantes graminées et légumineuses, si elles sont récoltées précocement pour leurs grains verts ou leurs gousses vertes (par exemple, pois verts, haricots d'Espagne, maïs vert) sont traitées comme des légumes frais, mais si elles sont récoltées pour leurs grains secs ou leurs semences, elles sont considérées comme des céréales et des légumineuses de culture."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),114AC,A15,Fresh vegetables (except potatoes and pulse crops),Légumes frais (sauf les pommes de terre et les légumineuses de culture),"This group comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.","Ce groupe comprend les légumes frais, sauf les pommes de terre et les légumineuses de culture. Les légumes sont des cultures temporaires destinées principalement à la consommation humaine, tant à titre de grandes cultures que de cultures de légumes, se trouvant dans des champs et des serres. Certaines plantes graminées et légumineuses, si elles sont récoltées précocement pour leurs grains verts ou leurs gousses vertes (par exemple, pois verts, haricots d'Espagne, maïs vert) sont traitées comme des légumes frais, mais si elles sont récoltées pour leurs grains secs ou leurs semences, elles sont considérées comme des céréales et des légumineuses de culture."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11422,114AC,Fresh vegetables (except potatoes and pulse crops),Légumes frais (sauf les pommes de terre et les légumineuses de culture),"This class comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.","Cette classe comprend les légumes frais, sauf les pommes de terre et les légumineuses de culture. Les légumes sont des cultures temporaires destinées principalement à la consommation humaine, tant à titre de grandes cultures que de cultures de légumes, se trouvant dans des champs et des serres. Certaines plantes graminées et légumineuses, si elles sont récoltées précocement pour leurs grains verts ou leurs gousses vertes (par exemple, pois verts, haricots d'Espagne, maïs vert) sont traitées comme des légumes frais, mais si elles sont récoltées pour leurs grains secs ou leurs semences, elles sont considérées comme des céréales et des légumineuses de culture."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114221,11422,Fresh vegetables (except potatoes and pulse crops),Légumes frais (sauf les pommes de terre et les légumineuses de culture),"This subclass comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.","Cette sous-classe comprend les légumes frais, sauf les pommes de terre et les légumineuses de culture. Les légumes sont des cultures temporaires destinées principalement à la consommation humaine, tant à titre de grandes cultures que de cultures de légumes, se trouvant dans des champs et des serres. Certaines plantes graminées et légumineuses, si elles sont récoltées précocement pour leurs grains verts ou leurs gousses vertes (par exemple, pois verts, haricots d'Espagne, maïs vert) sont traitées comme des légumes frais, mais si elles sont récoltées pour leurs grains secs ou leurs semences, elles sont considérées comme des céréales et des légumineuses de culture."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142211,114221,Fresh root type vegetables,Légumes frais de type racine,Fresh root type vegetables.,Légumes frais de type racine.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422111,1142211,Fresh carrots,Carottes fraîches,Fresh carrots.,Carottes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422112,1142211,Fresh rutabagas and turnips,Rutabagas et navets frais,Fresh rutabagas and turnips.,Rutabagas et navets frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422113,1142211,Fresh radishes,Radis frais,Fresh radishes.,Radis frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422114,1142211,Fresh beets,Betteraves fraîches,Fresh beets.,Betteraves fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422115,1142211,Fresh parsnips,Panais frais,Fresh parsnips.,Panais frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422116,1142211,Fresh sweet potatoes,Patates douces fraîches,Fresh sweet potatoes.,Patates douces fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422117,1142211,Other fresh root type vegetables,Autres légumes frais de type racine,Other fresh root type vegetables.,Autres légumes frais de type racine.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142212,114221,Fresh bulb type vegetables,Légumes frais de type bulbe,Fresh bulb type vegetables.,Légumes frais de type bulbe.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422121,1142212,Fresh dry onions (except green onions),Oignons secs frais (sauf les oignons verts),"Fresh dry onions, except green onions. Fresh onions dried out completely at harvest.","Oignons secs frais, sauf les oignons verts. Les oignons frais sont asséchés complètement après la récolte."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422122,1142212,Fresh garlic,Ail frais,Fresh garlic.,Ail frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422123,1142212,Fresh shallots and green onions,Échalotes et oignons verts frais,Fresh shallots and green onions.,Échalotes et oignons verts frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422124,1142212,Fresh leeks,Poireaux frais,Fresh leeks.,Poireaux frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422125,1142212,Other fresh bulb type vegetables,Autres légumes frais de type bulbe,Other fresh bulb type vegetables.,Autres légumes frais de type bulbe.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142213,114221,Fresh leaf and stem type vegetables,Légumes frais de type feuille et tige,Fresh leaf and stem type vegetables.,Légumes frais de type feuille et tige.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422131,1142213,Fresh lettuce,Laitue fraîche,Fresh lettuce.,Laitue fraîche.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422132,1142213,Fresh cabbage,Choux frais,Fresh cabbage.,Choux frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422133,1142213,Fresh celery,Céleri frais,Fresh celery.,Céleri frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422134,1142213,Fresh spinach,Épinards frais,Fresh spinach.,Épinards frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422135,1142213,Fresh asparagus,Asperges fraîches,Fresh asparagus.,Asperges fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422136,1142213,Fresh Brussels sprouts,Choux de Bruxelles frais,Fresh Brussels sprouts.,Choux de Bruxelles frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422137,1142213,Fresh rhubarb,Rhubarbe fraîche,Fresh rhubarb.,Rhubarbe fraîche.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422138,1142213,Fresh fine herbs,Fines herbes fraîches,Fresh fine herbs.,Fines herbes fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422139,1142213,Other fresh leaf and stem type vegetables,Autres légumes frais de type feuille et tige,Other fresh leaf and stem type vegetables.,Autres légumes frais de type feuille et tige.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142214,114221,Fresh melons,Melons frais,Fresh melons.,Melons frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422141,1142214,Fresh watermelons,Melons d'eau frais,Fresh watermelons.,Melons d'eau frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422142,1142214,Other fresh melons,Autres melons frais,Other fresh melons.,Autres melons frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142215,114221,Fresh fruit type vegetables (except melons),Légumes frais de type fruit (sauf les melons),"Fresh fruit type vegetables, except melons.","Légumes frais de type fruit, sauf les melons."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422151,1142215,Fresh tomatoes,Tomates fraîches,Fresh tomatoes.,Tomates fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422152,1142215,Fresh cucumbers,Concombres frais,Fresh cucumbers.,Concombres frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422153,1142215,Fresh gherkins,Cornichons frais,"Fresh gherkins, except fresh mini cucumbers.","Cornichons frais, sauf les mini-concombres frais."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422154,1142215,Fresh peppers,Poivrons frais,Fresh peppers.,Poivrons frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422155,1142215,Fresh pumpkins,Citrouilles fraîches,Fresh pumpkins.,Citrouilles fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422156,1142215,Fresh squash and zucchini,Courges et zucchinis frais,Fresh squash and zucchini.,Courges et zucchinis frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422157,1142215,Fresh eggplants,Aubergines fraîches,Fresh eggplants.,Aubergines fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422158,1142215,Other fresh fruit type vegetables (except melons),Autres légumes frais de type fruit (sauf les melons),"Other fresh fruit type vegetables, except melons.","Autres légumes frais de type fruit, sauf les melons."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142216,114221,Green leguminous vegetables,Légumes à gousse verts,"Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable), harvested while green for their green grains or for their green pods, mainly for human consumption.","Plantes légumineuses et graminées fraîches ou légumes sous forme de graines (légumes-gousses), récoltés précocement pour leurs grains verts ou leurs gousses vertes, principalement pour la consommation humaine."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422161,1142216,Fresh green peas,Pois verts frais,Fresh green peas.,Pois verts frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422162,1142216,Fresh green and wax beans,Haricots verts et jaunes frais,Fresh green and wax beans.,Haricots verts et jaunes frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422163,1142216,Other green leguminous vegetables,Autres légumes à gousse verts,"Other fresh leguminous and gramineous plants or seed type vegetables (pod vegetable), harvested while green for their green grains or for their green pods, mainly for human consumption.","Autres plantes légumineuses et graminées fraîches ou légumes sous forme de graines (légumes-gousses), récoltés précocement pour leurs grains verts ou leurs gousses vertes, principalement pour la consommation humaine."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142217,114221,Fresh mushrooms (including truffles),Champignons frais (y compris les truffes),Fresh mushrooms and truffles.,Champignons et truffes frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422171,1142217,Fresh Agaricus mushrooms,Champignons agaric frais,Fresh Agaricus mushrooms.,Champignons agaric frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422172,1142217,Specialty and other fresh mushrooms,Champignons de spécialité et autres champignons frais,Specialty and other fresh mushrooms.,Champignons de spécialité et autres champignons frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422173,1142217,Fresh truffles,Truffes frais,Fresh truffles.,Truffes frais.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142218,114221,"Other fresh vegetables, n.e.c.","Autres légumes frais, n.c.a.","Other fresh vegetables, n.e.c.","Autres légumes frais, n.c.a."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422181,1142218,Fresh sweet corn,Maïs sucré frais,Fresh sweet corn.,Maïs sucré frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422182,1142218,Fresh broccoli,Brocolis frais,Fresh broccoli.,Brocolis frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422183,1142218,Fresh cauliflowers,Choux-fleurs frais,Fresh cauliflowers.,Choux-fleurs frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422184,1142218,Fresh artichokes,Artichauts frais,Fresh artichokes.,Artichauts frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11422185,1142218,"Other miscellaneous fresh vegetables, n.e.c.","Autres légumes divers frais, n.c.a.","Other miscellaneous fresh vegetables, n.e.c.","Autres légumes divers frais, n.c.a."
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A16,,Fresh potatoes,Pommes de terre fraîches,This section comprises fresh potatoes.,Cette section comprend les pommes de terre fraîches.
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),114AD,A16,Fresh potatoes,Pommes de terre fraîches,This group comprises fresh potatoes.,Ce groupe comprend les pommes de terre fraîches.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11421,114AD,Fresh potatoes,Pommes de terre fraîches,This class comprises fresh potatoes.,Cette classe comprend les pommes de terre fraîches.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114211,11421,Fresh potatoes,Pommes de terre fraîches,This subclass comprises fresh potatoes.,Cette sous-classe comprend les pommes de terre fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142111,114211,Fresh potatoes for table consumption,Pommes de terre fraîches aux fins de consommation,Fresh potatoes for table consumption.,Pommes de terre fraîches aux fins de consommation.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11421111,1142111,Fresh potatoes for table consumption,Pommes de terre fraîches aux fins de consommation,Fresh potatoes for table consumption.,Pommes de terre fraîches aux fins de consommation.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142112,114211,Fresh potatoes for processing,Pommes de terre fraîches aux fins de transformation,Fresh potatoes for processing.,Pommes de terre fraîches aux fins de transformation.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11421121,1142112,Fresh potatoes for processing,Pommes de terre fraîches aux fins de transformation,Fresh potatoes for processing.,Pommes de terre fraîches aux fins de transformation.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1142113,114211,Fresh potatoes for seed,Pommes de terre fraîches pour la semence,Fresh potatoes for seed.,Pommes de terre fraîches pour la semence.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11421131,1142113,Fresh potatoes for seed,Pommes de terre fraîches pour la semence,Fresh potatoes for seed.,Pommes de terre fraîches pour la semence.
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A21,,Cattle and calves,Bovins et veaux,"This section comprises live beef and dairy cattle, and live calves.","Cette section comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),111AA,A21,Cattle and calves,Bovins et veaux,"This group comprises live beef and dairy cattle, and live calves.","Ce groupe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11111,111AA,Cattle and calves,Bovins et veaux,"This class comprises live beef and dairy cattle, and live calves.","Cette classe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
