Level,Hierarchical structure,Code,Parent,Code title,Superscript,Code definition
4,Detail,1141147,114114,Fresh grapes,,Fresh grapes.
4,Detail,1141148,114114,"Other fresh fruit, n.e.c.",,"Other fresh fruit, n.e.c."
3,Subclass,114115,11411,Nuts,,This subclass comprises nuts.
4,Detail,1141151,114115,Peanuts,,Peanuts shelled or in shell.
4,Detail,1141152,114115,Hazelnuts,,Hazelnuts shelled or in shell.
4,Detail,1141153,114115,Other nuts,,"Nuts shelled or in shell, other than peanuts and hazelnuts."
2,Class,11421,114,Fresh potatoes,,This class comprises fresh potatoes.
3,Subclass,114211,11421,Fresh potatoes,,This subclass comprises fresh potatoes.
4,Detail,1142111,114211,Fresh potatoes for table consumption,,Fresh potatoes for table consumption.
4,Detail,1142112,114211,Fresh potatoes for processing,,Fresh potatoes for processing.
4,Detail,1142113,114211,Fresh potatoes for seed,,Fresh potatoes for seed.
2,Class,11422,114,Fresh vegetables (except potatoes and pulse crops),,"This class comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops."
3,Subclass,114221,11422,Fresh vegetables (except potatoes and pulse crops),,"This subclass comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops."
4,Detail,1142211,114221,Fresh root type vegetables,,Fresh root type vegetables.
4,Detail,1142212,114221,Fresh bulb type vegetables,,Fresh bulb type vegetables.
4,Detail,1142213,114221,Fresh leaf and stem type vegetables,,Fresh leaf and stem type vegetables.
4,Detail,1142214,114221,Fresh melons,,Fresh melons.
4,Detail,1142215,114221,Fresh fruit type vegetables (except melons),,"Fresh fruit type vegetables, except melons."
4,Detail,1142216,114221,Green leguminous vegetables,,"Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable), harvested while green for their green grains or for their green pods, mainly for human consumption."
4,Detail,1142217,114221,Fresh mushrooms (including truffles),,Fresh mushrooms and truffles.
4,Detail,1142218,114221,"Other fresh vegetables, n.e.c.",,"Other fresh vegetables, n.e.c."
2,Class,11431,114,Pulse crops (except soybeans),,"This class comprises pulse crops, which are dry annual leguminous plants or edible seeds, harvested from pods, and primarily for the use in food processing, as both human food and animal feed."
3,Subclass,114311,11431,Chickpeas,,This subclass comprises chickpeas.
4,Detail,1143111,114311,"Chickpeas, Desi",,"Chickpeas, Desi."
4,Detail,1143112,114311,"Chickpeas, Kabuli",,"Chickpeas, Kabuli."
4,Detail,1143113,114311,Other chickpeas,,Other chickpeas.
3,Subclass,114312,11431,Lentils,,This subclass comprises lentils.
4,Detail,1143121,114312,Large green lentils,,Large green lentils.
4,Detail,1143122,114312,Red lentils,,Red lentils.
4,Detail,1143123,114312,Small green lentils,,Small green lentils.
4,Detail,1143124,114312,Other lentils,,Other lentils.
3,Subclass,114313,11431,Dry beans,,This subclass comprises dry beans.
4,Detail,1143131,114313,Dry white beans,,Dry white beans.
4,Detail,1143132,114313,Dry coloured beans,,Dry coloured beans.
3,Subclass,114314,11431,Dry peas,,This subclass comprises dry peas.
4,Detail,1143141,114314,Yellow dry peas,,Yellow dry peas.
4,Detail,1143142,114314,Green dry peas,,Green dry peas.
4,Detail,1143143,114314,Other dry peas,,Other dry peas.
3,Subclass,114315,11431,Other pulse crops,,This subclass comprises other pulse crops.
4,Detail,1143151,114315,Faba beans,,Faba beans.
4,Detail,1143152,114315,"Other pulse crops, n.e.c.",,"Other pulse crops, n.e.c."
1,Group,115,,Other crop products,,This group comprises crop products n.e.c.
2,Class,11511,115,Grains (except wheat),,"This class comprises unmilled cereal type grains, except wheat."
3,Subclass,115111,11511,Corn for grain,,This subclass comprises unmilled corn for grain.
4,Detail,1151111,115111,Corn for grain,,Unmilled corn for grain.
3,Subclass,115112,11511,Unmilled rice,,This subclass comprises unmilled rice.
4,Detail,1151121,115112,Unmilled rice,,Unmilled rice.
3,Subclass,115113,11511,Oats,,"This subclass comprises unmilled oats, hulless and unhulled."
4,Detail,1151131,115113,Oats,,"Unmilled oats, hulless and unhulled."
3,Subclass,115114,11511,Barley,,"This subclass comprises unmilled barley, hulless and unhulled."
4,Detail,1151141,115114,Barley,,"Unmilled barley, hulless and unhulled."
3,Subclass,115115,11511,"Other grains, n.e.c.",,This subclass comprises unmilled grains n.e.c.
4,Detail,1151151,115115,Mixed grain,,Unmilled mixed cereal grain.
4,Detail,1151152,115115,Rye,,Unmilled rye.
4,Detail,1151153,115115,Triticale,,Unmilled triticale.
4,Detail,1151154,115115,Wild rice,,Unmilled wild rice.
4,Detail,1151155,115115,Other miscellaneous grains,,Other miscellaneous unmilled grains.
2,Class,11512,115,Oilseeds (except canola),,"This class comprises oilseeds, except canola."
3,Subclass,115121,11512,Soybeans,,This subclass comprises unprocessed soybeans.
4,Detail,1151211,115121,Soybeans,,Unprocessed soybeans.
3,Subclass,115122,11512,Oilseeds (except canola and soybeans),,"This subclass comprises oilseeds, except canola and soybeans."
4,Detail,1151221,115122,Flaxseed,,Unprocessed flaxseed.
4,Detail,1151222,115122,Solin,,Unprocessed solin.
4,Detail,1151223,115122,Sunflower seeds,,Unprocessed sunflower seeds.
4,Detail,1151224,115122,Other oilseeds,,Other unprocessed oilseeds.
2,Class,11513,115,Other miscellaneous crop products,,This class comprises other miscellaneous crop products.
3,Subclass,115131,11513,Unstemmed leaf tobacco,,This subclass comprises unstemmed leaf tobacco.
4,Detail,1151311,115131,Unstemmed leaf tobacco,,Unstemmed leaf tobacco.
3,Subclass,115132,11513,Sugar cane and sugar beets,,This subclass comprises sugar cane and sugar beets.
4,Detail,1151321,115132,Sugar cane,,Sugar cane.
4,Detail,1151322,115132,Sugar beets,,Sugar beets.
3,Subclass,115133,11513,Raw tea,,"This subclass comprises raw tea, except packaged and prepared."
4,Detail,1151331,115133,Raw tea,,"Raw tea, except packaged and prepared."
3,Subclass,115134,11513,Cocoa beans,,This subclass comprises cocoa beans.
4,Detail,1151341,115134,Cocoa beans,,Cocoa beans.
3,Subclass,115135,11513,Green coffee beans,,This subclass comprises green coffee beans.
4,Detail,1151351,115135,Green coffee beans,,Green coffee beans.
3,Subclass,115136,11513,Maple syrup and other maple products,,This subclass comprises maple syrup and other maple products.
4,Detail,1151361,115136,Maple syrup,,Maple syrup.
4,Detail,1151362,115136,Maple butter,,Maple butter.
4,Detail,1151363,115136,Maple sugar,,Maple sugar.
4,Detail,1151364,115136,Maple taffy,,Maple taffy.
4,Detail,1151365,115136,"Other maple products, n.e.c.",,"Other maple products, n.e.c."
3,Subclass,115137,11513,Raw cotton,,This subclass comprises raw cotton.
4,Detail,1151371,115137,Raw cotton,,Raw cotton.
3,Subclass,115138,11513,Hay and forage,,This subclass comprises hay and forage.
4,Detail,1151381,115138,"Hay, forage seeds and grass seeds",,"Hay, forage seeds and grass seeds."
4,Detail,1151382,115138,Corn for silage,,Corn for silage.
4,Detail,1151383,115138,Unworked straw,,Unworked straw.
4,Detail,1151384,115138,"Other forage, n.e.c.",,"Other forage, n.e.c."
3,Subclass,115139,11513,"Other miscellaneous crop products, n.e.c.",,"This subclass comprises other miscellaneous crop products, n.e.c."
4,Detail,1151391,115139,Hops,,Hops.
4,Detail,1151392,115139,Natural vegetable fibres,,Natural vegetable fibres.
4,Detail,1151393,115139,Medicinal plants (except cannabis),,"Medicinal plants, except cannabis."
4,Detail,1151394,115139,Mustard seeds,,Unprocessed mustard seeds.
4,Detail,1151395,115139,Other spice seeds,,Other spice seeds.
4,Detail,1151396,115139,Vegetal gums,,"Vegetal gums, resins, gum-resins and oleoresins."
4,Detail,1151397,115139,Other crude vegetable materials,,Other crude vegetable materials.
4,Detail,1151398,115139,"Seeds for planting (except potato, flower, shrub and tree seeds)",,"Seeds for planting, except potato, flower, shrub and tree seeds."
2,Class,11514,115,"Floriculture and nursery products, and sod",,"This class comprises natural floriculture, nursery products and sod."
3,Subclass,115141,11514,"Seeds of flowers, shrubs and trees",,"This subclass comprises flower, shrub and tree seeds."
4,Detail,1151411,115141,Flower seeds,,Flower seeds and dormant bulbs.
4,Detail,1151412,115141,Shrub seeds,,Shrub seeds.
4,Detail,1151413,115141,Tree seeds,,Tree seeds.
3,Subclass,115142,11514,Christmas trees,,This subclass comprises natural Christmas trees.
4,Detail,1151421,115142,Christmas trees,,Natural Christmas trees.
3,Subclass,115143,11514,Floriculture products (except seeds),,"This subclass comprises natural floriculture products, except seeds."
4,Detail,1151431,115143,Indoor potted plants,,Indoor potted plants.
4,Detail,1151432,115143,Outdoor potted plants,,Outdoor potted plants.
4,Detail,1151433,115143,Cuttings,,Cuttings.
4,Detail,1151434,115143,Bedding plants,,Bedding plants.
4,Detail,1151435,115143,Cut flowers,,Cut flowers.
3,Subclass,115144,11514,Nursery products (except seeds),,"This subclass comprises natural trees, shrubs and their seedlings, except seeds."
4,Detail,1151441,115144,Trees,,Trees.
4,Detail,1151442,115144,Shrubs,,Shrubs.
4,Detail,1151443,115144,Vines,,Vines.
4,Detail,1151444,115144,Small fruit bushes,,Small fruit bushes.
4,Detail,1151445,115144,Tree seedlings,,Tree seedlings.
4,Detail,1151446,115144,"Other nursery trees and plants, n.e.c.",,"Other nursery trees and plants, n.e.c."
3,Subclass,115145,11514,Sod,,"This subclass comprises sod, natural."
4,Detail,1151451,115145,Sod,,"Sod, natural."
1,Group,116,,Other animal products,,This group comprises animal products n.e.c.
2,Class,11611,116,Eggs in shell,,This class comprises eggs in shell for consumption and for hatcheries.
3,Subclass,116111,11611,Eggs in shell,,This subclass comprises eggs in shell for consumption and for hatcheries.
4,Detail,1161111,116111,Eggs in shell for consumption,,Eggs in shell for consumption.
4,Detail,1161112,116111,Eggs in shell for hatcheries,,Fertilized eggs in shell for hatcheries.
4,Detail,1161113,116111,"Eggs in shell, leakers and rejects",,"Eggs in shell, leakers and rejects."
2,Class,11612,116,Unprocessed milk,,This class comprises unprocessed milk.
3,Subclass,116121,11612,Unprocessed milk,,This subclass comprises unprocessed milk.
4,Detail,1161211,116121,Unprocessed milk,,Unprocessed milk.
2,Class,11613,116,"Raw furskins, and animal products n.e.c.",,This class comprises raw furskins; raw wool and animal hair; natural honey; and pregnant mare urine.
3,Subclass,116131,11613,Raw furskins,,This subclass comprises raw furskins.
4,Detail,1161311,116131,Raw furskins,,Raw furskins.
3,Subclass,116132,11613,Raw wool and animal hair,,This subclass comprises raw wool and raw animal hair.
4,Detail,1161321,116132,Raw wool,,"Raw wool, not carded nor combed."
4,Detail,1161322,116132,Raw animal hair,,"Raw animal hair, not carded nor combed."
3,Subclass,116133,11613,Natural honey,,"This subclass comprises natural unprocessed (raw) honey made by bees, and bee-collected pollen."
4,Detail,1161331,116133,Natural honey,,"Natural unprocessed (raw) honey made by bees, and bee-collected pollen."
