Level,Hierarchical structure,Code,Parent,Code title,Superscript,Code definition
3,Subclass,213121,21312,Fresh cannabis flowering tops (including leaves),,"This subclass comprises freshly harvested cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk or prepared for retail sale, for non-medical and medical uses. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process."
4,Detail,2131211,213121,"Fresh cannabis flowering tops (including leaves), in bulk",,"Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk, not prepared or packaged for retail sale. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process."
4,Detail,2131212,213121,"Fresh cannabis flowering tops (including leaves), prepared for retail sale, for non-medical use",,"Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for non-medical use. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process."
4,Detail,2131213,213121,"Fresh cannabis flowering tops (including leaves), prepared for retail sale, for medical use",,"Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for medical use. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner."
3,Subclass,213122,21312,Dried cannabis flowering tops (including leaves),,"This subclass comprises dried cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk or prepared for retail sale, for non-medical and medical uses. Dried cannabis (also called marijuana, pot or weed) refers to harvested cannabis fresh flowering tops (buds) and leaves that have been subjected to drying and irradiation processes, but not further processed."
4,Detail,2131221,213122,"Dried cannabis flowering tops (including leaves), in bulk",,"Dried cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk, not prepared or packaged for retail sale. Dried cannabis (also called marijuana, pot or weed) refers to harvested cannabis fresh flowering tops (buds) and leaves that have been subjected to drying and irradiation processes, but not further processed."
4,Detail,2131222,213122,"Dried cannabis flowering tops (including leaves), prepared for retail sale, for non-medical use",,"Dried cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for non-medical use. Dried cannabis (also called marijuana, pot or weed) refers to harvested cannabis fresh flowering tops (buds) and leaves that have been subjected to drying and irradiation processes, but not further processed."
4,Detail,2131223,213122,"Dried cannabis flowering tops (including leaves), prepared for retail sale, for medical use",,"Dried cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for medical use. Dried cannabis (also called marijuana, pot or weed) refers to harvested cannabis fresh flowering tops (buds) and leaves that have been subjected to drying and irradiation processes, but not further processed. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner."
2,Class,21313,213,"Cannabis products (except seeds, plants, and plant parts)",,"This class comprises cannabis oil and other solid and non-solid cannabis extracts and concentrates; cannabis-infused edibles; and other cannabis products n.e.c., made of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and cannabidiol (CBD), for non-medical (recreational, wellness, lifestyle, spiritual, etc.) and medical uses."
3,Subclass,213135,21313,Cannabis pure intermediates,,"This subclass comprises cannabis pure intermediates, intended for further processing or for production of another cannabis product."
4,Detail,2131351,213135,Cannabis pure intermediates,,"Cannabis pure intermediates, intended for further processing or for production of another cannabis product."
3,Subclass,213136,21313,Cannabis extracts and concentrates,,"This subclass comprises cannabis extracts and concentrates. Cannabis extracts refers to cannabis substances produced using extraction processing methods or by synthesizing phytocannabinoids. Cannabis concentrates refer to derived extracts containing concentrated amounts of the psychoactive compound tetrahydrocannabinol (THC), cannabidiol (CBD), and a multiplicity of other cannabinoids and terpenes."
4,Detail,2131361,213136,"Cannabis extracts, in bulk",,"Cannabis products that are produced using extraction processing methods or by synthesizing phytocannabinoids., in bulk, not prepared or packaged for retail sale."
4,Detail,2131362,213136,"Cannabis extract inhaled products, for non-medical use",,"Cannabis extract inhaled products, for non-medical use, prepared for retail sale."
4,Detail,2131363,213136,"Cannabis extract inhaled products, for medical use",,"Cannabis extract inhaled products, for medical use, prepared for retail sale."
4,Detail,2131364,213136,"Cannabis extracts ingested products, for non-medical use",,"Cannabis extracts ingested products, for non-medical use, prepared for retail sale."
4,Detail,2131365,213136,"Cannabis extracts ingested products, for medical use",,"Cannabis extracts ingested products, for medical use, prepared for retail sale."
4,Detail,2131369,213136,Other cannabis extracts products,,Other cannabis extracts products.
3,Subclass,213137,21313,Cannabis-infused edible products,,"This subclass comprises cannabis-infused edible products (beverages, food, etc.) containing more than 0.3% w/w of the psychoactive compound tetrahydrocannabinol (THC), cannabidiol (CBD), and other cannabinoids and terpenes. Their use can be non-medical or medical. Generally, there is a limit on the level of THC a product available for sale could contain."
4,Detail,2131371,213137,Cannabis-infused beverages,,"Cannabis-infused beverages containing more than 0.3% w/w of the psychoactive compound tetrahydrocannabinol (THC), cannabidiol (CBD), and other cannabinoids and terpenes. Their use can be non-medical or medical. Generally, there is a limit on the level of THC a product available for sale could contain."
4,Detail,2131372,213137,Cannabis-infused edible products (except beverages),,"Cannabis-infused edible products, such as food, except beverages, containing more than 0.3% w/w of the psychoactive compound tetrahydrocannabinol (THC), cannabidiol (CBD), and other cannabinoids and terpenes. Their use can be non-medical or medical. Generally, there is a limit on the level of THC a product available for sale could contain."
3,Subclass,213139,21313,"Other cannabis products, n.e.c.",,"This subclass comprises other cannabis products n.e.c., containing more than 0.3% w/w of the psychoactive compound tetrahydrocannabinol (THC), cannabidiol (CBD) and other cannabinoids, for non-medical and medical uses."
4,Detail,2131391,213139,Cannabis topical products,,"Products that include cannabis as an ingredient and that are intended to be used on external body surfaces (e.g., skin, hair, nails)."
4,Detail,2131399,213139,"Other cannabis products, n.e.c.",,"Other cannabis products, n.e.c."
1,Group,221,,"Fabric, fibre and yarn, and leather and dressed furs",,"This group comprises fabric, fibre, yarn and thread, and leather and dressed furs."
2,Class,22111,221,Fabrics,,This class comprises fabrics.
3,Subclass,221111,22111,Broad woven fabrics of cotton or wool,,"This subclass comprises broad woven fabrics, of a width exceeding 30 centimetres (12 inches), made entirely or primarily of cotton, or made entirely or partially of wool or other animal hair."
4,Detail,2211111,221111,Broad woven fabrics of cotton or wool,,"Broad woven fabrics, of a width exceeding 30 centimetres (12 inches), made entirely or primarily of cotton, or made entirely or partially of wool or other animal hair."
3,Subclass,221112,22111,Broad woven fabrics (except cotton or wool),,"This subclass comprises broad woven fabrics, of a width exceeding 30 centimetres (12 inches), made entirely or primarily of artificial, synthetic, or natural fibres other than cotton, wool or animal hair."
4,Detail,2211121,221112,Broad woven fabrics of mainly artificial or synthetic fibres,,"Broad woven fabrics, of a width exceeding 30 centimetres (12 inches), made entirely or primarily of artificial or synthetic fibres."
4,Detail,2211122,221112,Broad woven fabrics of natural fibres (except cotton or wool),,"Broad woven fabrics, of a width exceeding 30 centimetres (12 inches), made entirely or primarily of natural fibres other than cotton, wool or animal hair."
3,Subclass,221113,22111,Circular knit fabrics,,This subclass comprises circular knit fabrics.
4,Detail,2211131,221113,Circular knit fabrics,,Circular knit fabrics.
3,Subclass,221114,22111,Knit fabrics (except circular knit),,"This subclass comprises knit fabrics, except circular knit."
4,Detail,2211141,221114,Knit fabrics (except circular knit),,"Knit fabrics, except circular knit."
3,Subclass,221115,22111,Narrow fabrics,,"This subclass comprises narrow woven fabrics, of a width not exceeding 30 centimetres."
4,Detail,2211151,221115,Narrow fabrics,,"Narrow woven fabrics, of a width not exceeding 30 centimetres."
3,Subclass,221116,22111,Coated fabrics and coated yarns,,This subclass comprises coated fabrics and coated yarns.
4,Detail,2211161,221116,Coated fabrics,,Coated and laminated fabrics.
4,Detail,2211162,221116,Coated yarns,,"Yarns coated with vinyl, rubber or other materials."
3,Subclass,221117,22111,Nonwoven fabrics and products,,This subclass comprises nonwoven fabrics and products.
4,Detail,2211171,221117,Nonwoven and pressed fabrics (including felts),,"Pressed, punched or needled felts, and other nonwoven fabrics."
4,Detail,2211172,221117,Fabricated nonwoven products,,Fabricated nonwoven textile products.
2,Class,22112,221,"Fibre, yarn, and thread (except artificial and synthetic fibres and filaments)",,"This class comprises fibre, yarn, and thread, except artificial and synthetic fibres and filaments."
3,Subclass,221121,22112,"Fibre and yarn (except sewing thread, filament yarns and coated yarns)",,"This subclass comprises fibre and yarn, except sewing thread, filament yarns and coated yarns."
4,Detail,2211211,221121,Wool yarns,,Yarns made entirely or partially of wool or other animal hair.
4,Detail,2211212,221121,Cotton yarns,,Yarns made entirely or primarily of cotton fibres.
4,Detail,2211213,221121,Artificial staple fibre yarns,,Yarns made entirely or primarily of artificial (cellulosic) staple fibres.
4,Detail,2211214,221121,Synthetic staple fibre yarns,,Yarns made entirely or primarily of synthetic (non-cellulosic) staple fibres.
4,Detail,2211215,221121,Silk and natural staple fibre yarns,,"Yarns made entirely or primarily of natural staple fibres, other than cotton or wool."
4,Detail,2211216,221121,"Textile fibres, not carded or spun",,"Natural fibres, scoured and combed, but not carded or spun."
3,Subclass,221122,22112,Sewing thread (except covered rubber thread),,"This subclass comprises sewing thread, except covered rubber thread."
4,Detail,2211221,221122,Sewing thread (except covered rubber thread),,"Sewing thread, except covered rubber thread."
2,Class,22113,221,Leather and dressed furs,,This class comprises leather and dressed furs.
3,Subclass,221131,22113,Leather and dressed furs,,This subclass comprises leather and dressed furs.
4,Detail,2211311,221131,Leather and dressed furs,,Leather and dressed furs.
1,Group,231,,"Clothing, footwear and accessories",,"This group comprises clothing, footwear and accessories."
2,Class,23111,231,Men's clothing,,This class comprises men's clothing.
3,Subclass,231111,23111,Men's underwear and sleepwear,,This subclass comprises men's underwear and sleepwear.
4,Detail,2311111,231111,Men's underwear and sleepwear,,Men's underwear and sleepwear.
3,Subclass,231112,23111,"Men's suits, sport jackets and blazers",,"This subclass comprises men's suits, sport jackets and blazers."
4,Detail,2311121,231112,"Men's suits, sport jackets and blazers",,"Men's suits, sport jackets and blazers."
3,Subclass,231113,23111,Men's shirts,,This subclass comprises men's shirts.
4,Detail,2311131,231113,Men's shirts,,Men's shirts.
3,Subclass,231114,23111,Men's pants (except jeans),,"This subclass comprises men's pants, except jeans."
4,Detail,2311141,231114,Men's pants (except jeans),,"Men's pants, except jeans."
3,Subclass,231115,23111,Men's jeans,,This subclass comprises men's jeans.
4,Detail,2311151,231115,Men's jeans,,Men's jeans.
3,Subclass,231116,23111,Men's fur and leather clothing,,This subclass comprises men's fur and leather clothing.
4,Detail,2311161,231116,"Men's leather coats and jackets, and other men's leather clothing",,"Men's leather coats and jackets, and other men's leather clothing."
4,Detail,2311162,231116,"Men's fur coats and jackets, and other men's fur clothing",,"Men's fur coats and jackets, and other men's fur clothing."
3,Subclass,231117,23111,Men's outerwear coats and jackets,,This subclass comprises men's outerwear coats and jackets.
4,Detail,2311171,231117,Men's outerwear coats and jackets,,Men's outerwear coats and jackets.
3,Subclass,231118,23111,"Men's sweaters, and men's clothing n.e.c.",,"This subclass comprises men's sweaters, and men's clothing n.e.c."
4,Detail,2311181,231118,Men's sweaters,,Men's sweaters.
4,Detail,2311182,231118,"Men's clothing, n.e.c.",,"Men's clothing, n.e.c."
2,Class,23112,231,Women's clothing,,This class comprises women's clothing.
3,Subclass,231121,23112,"Women's lingerie, sleepwear and underwear",,"This subclass comprises women's lingerie, sleepwear and underwear."
4,Detail,2311211,231121,"Women's lingerie, sleepwear and underwear",,"Women's lingerie, sleepwear and underwear."
3,Subclass,231122,23112,Women's swimwear,,This subclass comprises women's swimwear.
4,Detail,2311221,231122,Women's swimwear,,Women's swimwear.
3,Subclass,231123,23112,Women's suits and jackets,,This subclass comprises women's suits and jackets.
4,Detail,2311231,231123,Women's suits and jackets,,Women's suits and jackets.
3,Subclass,231124,23112,Women's pants and jeans,,This subclass comprises women's pants and jeans.
4,Detail,2311241,231124,Women's pants and jeans,,Women's pants and jeans.
3,Subclass,231125,23112,Women's skirts and dresses,,This subclass comprises women's skirts and dresses.
4,Detail,2311251,231125,Women's skirts and dresses,,Women's skirts and dresses.
3,Subclass,231126,23112,Women's shirts and blouses,,This subclass comprises women's shirts and blouses.
4,Detail,2311261,231126,Women's shirts and blouses,,Women's shirts and blouses.
3,Subclass,231127,23112,Women's fur and leather clothing,,This subclass comprises women's fur and leather clothing.
4,Detail,2311271,231127,"Women's leather coats and jackets, and other women's leather clothing",,"Women's leather coats and jackets, and other women's leather clothing."
4,Detail,2311272,231127,"Women's fur coats and jackets, and other women's fur clothing",,"Women's fur coats and jackets, and other women's fur clothing."
3,Subclass,231128,23112,"Women's sweaters, outerwear coats, and jackets, and women's clothing n.e.c.",,"This subclass comprises women's sweaters, outerwear coats, and jackets, and women's clothing n.e.c."
4,Detail,2311281,231128,Women's sweaters,,Women's sweaters.
4,Detail,2311282,231128,"Women's outerwear coats, jackets, and capes",,"Women's outerwear coats, jackets, and capes."
4,Detail,2311283,231128,"Women's clothing, n.e.c.",,"Women's clothing, n.e.c."
2,Class,23113,231,Children's clothing,,"This class comprises boys', girls', and infant clothing."
3,Subclass,231131,23113,Infant clothing,,This subclass comprises infant clothing of Canadian sizes 0 to 24 months.
4,Detail,2311311,231131,Infant clothing,,Infant clothing of Canadian sizes 0 to 24 months.
3,Subclass,231132,23113,Boys' clothing,,This subclass comprises clothing for boys of Canadian sizes 2 to 20.
4,Detail,2311321,231132,Boys' clothing,,Clothing for boys of Canadian sizes 2 to 20.
3,Subclass,231133,23113,Girls' clothing,,This subclass comprises clothing for girls of Canadian sizes 2 to 16.
4,Detail,2311331,231133,Girls' clothing,,Clothing for girls of Canadian sizes 2 to 16.
2,Class,23115,231,Non-binary and gender-neutral clothing; hosiery; vestments and costumes; and clothing accessories,,This class comprises non-binary and gender-neutral clothing; hosiery (for all genders); vestments and costumes; clothing accessories and textile clothing components.
3,Subclass,231151,23115,Non-binary and gender-neutral clothing; hosiery; vestments and costumes; and clothing accessories,,"This subclass comprises non-binary and gender-neutral clothing, hosiery (for all genders), vestments and costumes, clothing accessories and textile clothing components."
4,Detail,2311511,231151,Non-binary and gender-neutral clothing,,Non-binary and gender-neutral clothing.
4,Detail,2311512,231151,Hosiery,,Hosiery for adult and children (for all genders).
4,Detail,2311513,231151,Vestments and costumes,,Vestments and costumes.
3,Subclass,231152,23115,Belts,,This subclass comprises belts.
4,Detail,2311521,231152,Belts,,Belts.
3,Subclass,231153,23115,Gloves and mittens,,This subclass comprises gloves and mittens.
4,Detail,2311531,231153,Gloves and mittens,,Gloves and mittens.
3,Subclass,231159,23115,Other clothing accessories and textile clothing components,,"This subclass comprises other clothing accessories, and textile clothing components."
4,Detail,2311591,231159,Hats,,Hats.
4,Detail,2311599,231159,"Other clothing accessories, textile clothing pieces and components, n.e.c.",,"Other clothing accessories, textile clothing pieces and components, n.e.c."
2,Class,23122,231,Footwear,,This class comprises footwear for all genders and all ages.
3,Subclass,231221,23122,Non-athletic footwear (except for children and infants),,"This subclass comprises non-athletic footwear, except for children (footwear with an insole length of less than 24.25 cm and more than 16 cm) or for infants (footwear with an insole length of 16 cm or less)."
4,Detail,2312211,231221,Men's non-athletic footwear,,Men's non-athletic footwear.
4,Detail,2312212,231221,Women's non-athletic footwear,,Women's non-athletic footwear.
4,Detail,2312213,231221,Non-binary and gender neutral's non-athletic footwear,,Non-binary and gender neutral's non-athletic footwear.
3,Subclass,231222,23122,Protective footwear of rubber or plastics,,This subclass comprises protective footwear of rubber or plastics.
4,Detail,2312221,231222,Protective footwear of rubber or plastics,,Protective footwear of rubber or plastics.
3,Subclass,231229,23122,Other footwear,,"This subclass comprises children's footwear, athletic footwear and other footwear (for all genders) n.e.c."
4,Detail,2312291,231229,Athletic footwear (except for infant and children),,"Men's, women's, non-binary's and gender neutral's athletic footwear, except for infants and children."
4,Detail,2312292,231229,Children's and infant's footwear,,"Children's footwear, with an insole length of less than 24.25 cm and more than 16 cm; and infant's footwear with an insole length of 16 cm or less."
4,Detail,2312293,231229,"Ski-boots, snowboard boots and cross-country ski footwear (except for children)",,"Ski-boots, snowboard boots and cross-country ski footwear, except for children."
4,Detail,2312294,231229,Ice skating boots (except for children),,"Ice skating boots, whether the boots are attached to blades or not, except for children."
4,Detail,2312295,231229,Roller skating boots (except for children),,"Roller skating boots, whether the boots are attached to rollers or not, except for children."
4,Detail,2312299,231229,"Other footwear and accessories, n.e.c.",,"Other footwear and accessories, n.e.c."
2,Class,23131,231,"Suitcases, handbags, and other leather and allied products",,"This class comprises suitcases, handbags, and other leather and allied products."
3,Subclass,231311,23131,Suitcases and handbags,,"This subclass comprises suitcases, briefcases, knapsacks and duffel bags; and handbags and purses."
4,Detail,2313111,231311,"Suitcases, briefcases, knapsacks and duffel bags",,"Suitcases, briefcases, knapsacks and duffel bags."
4,Detail,2313112,231311,Handbags and purses,,Handbags and purses.
3,Subclass,231312,23131,Other leather and allied products,,"This subclass comprises leather and fur articles, pieces and components, n.e.c."
4,Detail,2313121,231312,"Leather and fur articles, n.e.c.",,"Leather and fur articles, n.e.c."
4,Detail,2313122,231312,"Leather pieces and components, n.e.c.",,"Leather pieces and components, n.e.c."
4,Detail,2313123,231312,"Fur pieces and components, n.e.c.",,"Fur pieces and components, n.e.c."
1,Group,232,,"Carpets, textile furnishings and other textile products",,"This group comprises carpets, textile furnishings and other textile products."
2,Class,23211,232,"Carpets, rugs and mats",,"This class comprises carpets, rugs and mats of textile materials."
3,Subclass,232111,23211,"Carpets, rugs and mats",,"This subclass comprises carpets, rugs and mats of textile materials."
4,Detail,2321111,232111,"Carpets, rugs and mats",,"Carpets, rugs and mats of textile materials."
2,Class,23212,232,Other textile furnishings,,This class comprises other textile furnishings.
3,Subclass,232121,23212,Bed linens,,This subclass comprises bed linens.
4,Detail,2321211,232121,Bed linens,,Bed linens.
3,Subclass,232122,23212,Other miscellaneous textile furnishings,,This subclass comprises other miscellaneous textile furnishings.
4,Detail,2321221,232122,"Curtains, draperies, and textile blinds",,"Curtains, draperies, and blinds made of textile materials."
4,Detail,2321222,232122,Bath linens,,Bath linens.
4,Detail,2321223,232122,Household textiles (except bed and bath linens),,"Household textiles, except bed and bath linens."
2,Class,23213,232,"Textile products, n.e.c.",,"This class comprises tire cord and tire fabric; rope, cordage and twine; canvas products and similar articles; and other textile products n.e.c."
3,Subclass,232131,23213,Tire cord and tire fabric,,This subclass comprises tire cord and tire fabric.
4,Detail,2321311,232131,Tire cord and tire fabric,,Tire cord and tire fabric.
3,Subclass,232132,23213,"Rope, cordage and twine",,"This subclass comprises rope, cordage and twine."
4,Detail,2321321,232132,"Rope, cordage and twine",,"Rope, cordage and twine."
3,Subclass,232133,23213,Canvas products and similar articles,,This subclass comprises canvas products and similar articles.
4,Detail,2321331,232133,Camping tents and sails,,Camping tents and sails.
4,Detail,2321332,232133,Commercial tents and air-supported structures,,Commercial tents and air-supported structures.
4,Detail,2321333,232133,Other canvas products and similar articles,,Other canvas products and similar articles.
3,Subclass,232134,23213,"Other textile products, n.e.c.",,"This subclass comprises other textile products, n.e.c."
4,Detail,2321341,232134,Textile bags,,Bags made of woven or knitted textiles or of similar materials.
4,Detail,2321342,232134,"Textile padding, upholstery filling, batting, and wadding",,"Textile padding, upholstery filling, batting, and wadding."
4,Detail,2321343,232134,Embroideries,,Embroideries.
4,Detail,2321344,232134,"Textile components, n.e.c.",,"Textile components, n.e.c."
4,Detail,2321345,232134,"Textile end products, n.e.c.",,"Textile end products, n.e.c."
4,Detail,2321346,232134,Recovered fibres and processed mill waste,,Recovered fibres and processed mill waste.
1,Group,241,,Lumber and other sawmill products,,This group comprises lumber and other sawmill products.
2,Class,24111,241,Hardwood lumber (except tongue and groove and other edge worked lumber),,"This class comprises untreated hardwood lumber, not further worked than sawn, planed and cut to length."
3,Subclass,241111,24111,Hardwood lumber (except tongue and groove and other edge worked lumber),,"This subclass comprises untreated hardwood lumber, not further worked than sawn, planed and cut to length."
4,Detail,2411111,241111,Hardwood lumber (except tongue and groove and other edge worked lumber),,"Untreated hardwood lumber, not further worked than sawn, planed and cut to length."
2,Class,24112,241,Softwood lumber (except tongue and groove and other edge worked lumber),,"This class comprises untreated softwood lumber, not further worked than sawn, planed and cut to length."
3,Subclass,241121,24112,"Softwood lumber of spruce, pine and fir (except tongue and groove and other edge worked lumber)",,"This subclass comprises untreated softwood lumber of spruce-pine-fir (SPF), not further worked than sawn, planed and cut to length."
4,Detail,2411211,241121,"Softwood lumber of spruce, pine and fir (except tongue and groove and other edge worked lumber)",,"Untreated softwood lumber of spruce-pine-fir (SPF), not further worked than sawn, planed and cut to length."
3,Subclass,241122,24112,Softwood lumber of hemlock fir (except tongue and groove and other edge worked lumber),,"This subclass comprises untreated softwood lumber of hemlock fir, not further worked than sawn, planed and cut to length."
4,Detail,2411221,241122,Softwood lumber of hemlock fir (except tongue and groove and other edge worked lumber),,"Untreated softwood lumber of hemlock fir, not further worked than sawn, planed and cut to length."
3,Subclass,241123,24112,Softwood lumber of Douglas fir and Western larch (except tongue and groove and other edge worked lumber),,"This subclass comprises untreated softwood lumber of Douglas fir and Western larch, not further worked than sawn, planed and cut to length."
4,Detail,2411231,241123,Softwood lumber of Douglas fir and Western larch (except tongue and groove and other edge worked lumber),,"Untreated softwood lumber of Douglas fir and Western larch, not further worked than sawn, planed and cut to length."
3,Subclass,241124,24112,Softwood lumber of Western red cedar (except tongue and groove and other edge worked lumber),,"This subclass comprises untreated softwood lumber of Western red cedar, not further worked than sawn, planed and cut to length."
4,Detail,2411241,241124,Softwood lumber of Western red cedar (except tongue and groove and other edge worked lumber),,"Untreated softwood lumber of Western red cedar, not further worked than sawn, planed and cut to length."
3,Subclass,241125,24112,Other softwood lumber (except tongue and groove and other edge worked lumber),,"This subclass comprises other untreated softwood lumber, not further worked than sawn, planed and cut to length."
4,Detail,2411251,241125,Other softwood lumber (except tongue and groove and other edge worked lumber),,"Other untreated softwood lumber, not further worked than sawn, planed and cut to length."
2,Class,24121,241,Wood trusses and engineered wood members,,This class comprises wood trusses and engineered structural wood members.
3,Subclass,241211,24121,Wood trusses,,"This subclass comprises load-bearing structural frames based on a triangular arrangement of wood members, used in various residential and commercial building applications."
4,Detail,2412111,241211,Wood trusses,,"Load-bearing structural frames based on a triangular arrangement of wood members, used in various residential and commercial building applications."
3,Subclass,241212,24121,Engineered structural wood members (except trusses),,"This subclass comprises engineered wood products used as load-bearing or other supporting components of a building, except trusses."
4,Detail,2412121,241212,Engineered structural wood members (except trusses),,"Engineered wood products used as load-bearing or other supporting components of a building, except trusses."
2,Class,24122,241,Reconstituted wood products,,This class comprises reconstituted wood products.
3,Subclass,241221,24122,"Waferboard, particle board and medium-density fibreboard (MDF)",,"This subclass comprises waferboard, oriented strandboard, composite flooring, medium-density fibreboard (MDF) and particle board."
4,Detail,2412211,241221,Waferboard and oriented strandboard,,"Regular and oriented particle panels made from compressed wood flakes, strands or wafers."
4,Detail,2412212,241221,Composite flooring,,"Composite wood flooring refers to floor covering of reconstituted wood products consisting of two or more layers with the top layer predominantly made of solid hardwood or softwood. The sub layers can be of the same wood species, of different species or of other material. Composite flooring of non solid wood materials are also included."
4,Detail,2412213,241221,Other medium-density fibreboard (MDF) and particle board (including prefinished),,"Other medium-density fibreboard (MDF) and particle board, including prefinished."
3,Subclass,241222,24122,Other fibreboard,,This subclass comprises other fibreboard.
4,Detail,2412221,241222,Hardboard,,High-density fibreboard (HDF) and high-density particle board.
4,Detail,2412222,241222,Cellulosic fibreboard (insulating board),,"Low-density insulating fibreboard, manufactured from cellulosic fibres, such as wood fibres."
2,Class,24123,241,Veneer and plywood,,This class comprises veneer and plywood.
3,Subclass,241231,24123,Hardwood veneer,,"This subclass comprises wood sheets of uniform thickness, peeled, sliced or sawn from bolts of hardwood, suitable for use as panels or in the manufacture of plywood."
4,Detail,2412311,241231,Hardwood veneer,,"Wood sheets of uniform thickness, peeled, sliced or sawn from bolts of hardwood, suitable for use as panels or in the manufacture of plywood."
3,Subclass,241232,24123,Softwood veneer,,"This subclass comprises wood sheets of uniform thickness, peeled, sliced or sawn from bolts of softwood, suitable for use as panels or in the manufacture of plywood."
4,Detail,2412321,241232,Softwood veneer,,"Wood sheets of uniform thickness, peeled, sliced or sawn from bolts of softwood, suitable for use as panels or in the manufacture of plywood."
3,Subclass,241233,24123,Birch plywood and plywood products,,This subclass comprises birch plywood panels and other plywood-type products of birch.
4,Detail,2412331,241233,Hardwood plywood of birch,,Plywood panels consisting of sheets of birch.
4,Detail,2412332,241233,"Plywood-type products of birch (including 2-ply veneers, cellular panels, and curved or moulded plywood)",,"Veneer panels, cellular panels, curved or moulded plywood, and other wood panels made from birch veneer glued to particle board, fibreboard, lumber or other wood-based cores."
3,Subclass,241234,24123,Other hardwood plywood and plywood products,,"This subclass comprises hardwood plywood panels and other plywood-type products of hardwood, except birch."
4,Detail,2412341,241234,Other hardwood plywood,,Plywood panels consisting of sheets of hardwood other than birch.
4,Detail,2412342,241234,"Other hardwood plywood-type products (including 2-ply veneers, cellular panels, and curved or moulded plywood)",,"Veneer panels, cellular panels, curved or moulded plywood, and other wood panels made from hardwood veneer (other than birch) glued to particle board, fibreboard, lumber or other wood-based cores."
3,Subclass,241235,24123,Douglas fir plywood and plywood products,,This subclass comprises Douglas fir plywood panels and other plywood-type products of Douglas fir.
4,Detail,2412351,241235,"Softwood plywood of Douglas fir, rough (including touch sanded, interior and exterior)",,"Rough plywood panels consisting of sheets of Douglas fir, including interior and exterior touch sanded."
4,Detail,2412352,241235,"Softwood plywood of Douglas fir, sanded (interior and exterior)",,"Plywood panels consisting of sheets of Douglas fir, interior and exterior sanded."
4,Detail,2412353,241235,"Softwood plywood specialties of Douglas fir (including 2-ply veneers, cellular panels, and curved or moulded plywood)",,"Veneer panels, cellular panels, curved or moulded plywood, and other wood panels made from Douglas fir veneer glued to particle board, fibreboard, lumber or other wood-based cores."
3,Subclass,241236,24123,Other softwood plywood and plywood products,,"This subclass comprises softwood plywood panels and other plywood-type products of softwood, except Douglas fir."
4,Detail,2412361,241236,"Softwood plywood (except of Douglas fir), rough (including touch sanded, interior and exterior)",,"Rough plywood panels consisting of sheets of softwood other than Douglas fir, including interior and exterior touch sanded."
4,Detail,2412362,241236,"Softwood plywood (except of Douglas fir), sanded (interior and exterior)",,"Plywood panels consisting of sheets of softwood other than Douglas fir, interior and exterior sanded."
4,Detail,2412363,241236,"Softwood plywood specialties (except of Douglas fir) (including 2-ply veneers, cellular panels, and curved or moulded plywood)",,"Veneer panels, cellular panels, curved or moulded plywood and other wood panels made from softwood veneer (other than Douglas fir), glued to particle board, fibreboard, lumber or other wood-based cores."
2,Class,24124,241,"Other sawmill products, and treated wood products",,This class comprises other sawmill products and treated wood products.
3,Subclass,241241,24124,"Shakes and shingles, and wood siding",,"This subclass comprises shakes and shingles, and wood siding."
4,Detail,2412411,241241,Shakes and shingles,,"Shakes and shingles, sawn or split from natural wood, for use as roofing or siding."
4,Detail,2412412,241241,Wood siding,,"Natural wood siding, continuously shaped."
3,Subclass,241242,24124,Untreated wood ties and treated wood products,,This subclass comprises untreated wood ties and treated wood products.
4,Detail,2412421,241242,Untreated wood ties,,Untreated wood ties.
4,Detail,2412422,241242,"Treated wood poles, piles and posts",,"Treated wood poles, piles and posts."
