pid,language,zip_file,zip_name,member_name,member_size,is_csv,is_metadata,column_count,columns,row_count,status,error_message
37100182,eng,raw_old\37100182-eng.zip,37100182-eng.zip,37100182.csv,538204910,True,False,20,REF_DATE | GEO | DGUID | International Standard Classification of Education (ISCED) | Field of study | Institution type | Registration status | Gender | Selected academic period | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
37100182,eng,raw_old\37100182-eng.zip,37100182-eng.zip,37100182_MetaData.csv,32352,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
37100183,eng,raw_old\37100183-eng.zip,37100183-eng.zip,37100183.csv,137448242,True,False,18,REF_DATE | GEO | DGUID | International Standard Classification of Education (ISCED) | Field of study | Institution type | Gender | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
37100183,eng,raw_old\37100183-eng.zip,37100183-eng.zip,37100183_MetaData.csv,31492,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
37100184,eng,raw_old\37100184-eng.zip,37100184-eng.zip,37100184.csv,3599034863,True,False,21,"REF_DATE | GEO | DGUID | International Standard Classification of Education (ISCED) | Institution type | Classification of Instructional Programs, STEM and BHASE groupings | Status of student in Canada | Country of citizenship | Gender | Selected academic period | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS",,ok,
37100184,eng,raw_old\37100184-eng.zip,37100184-eng.zip,37100184_MetaData.csv,17638,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
37100185,eng,raw_old\37100185-eng.zip,37100185-eng.zip,37100185.csv,1885843950,True,False,20,"REF_DATE | GEO | DGUID | International Standard Classification of Education (ISCED) | Institution type | Classification of Instructional Programs, STEM and BHASE groupings | Status of student in Canada | Country of citizenship | Gender | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS",,ok,
37100185,eng,raw_old\37100185-eng.zip,37100185-eng.zip,37100185_MetaData.csv,16902,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
37100188,eng,raw_old\37100188-eng.zip,37100188-eng.zip,37100188.csv,28372893,True,False,19,REF_DATE | GEO | DGUID | Level of study | Field of study | Sex | Work-integrated learning (WIL) participation | Statistics | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
37100188,eng,raw_old\37100188-eng.zip,37100188-eng.zip,37100188_MetaData.csv,9151,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
37100189,eng,raw_old\37100189-eng.zip,37100189-eng.zip,37100189.csv,28371707,True,False,19,REF_DATE | GEO | DGUID | Level of study | Field of study | Sex | Work-integrated learning (WIL) participation | Statistics | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
37100189,eng,raw_old\37100189-eng.zip,37100189-eng.zip,37100189_MetaData.csv,9185,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
