archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Ratchet Stop, No Lock Nut",English,82,"Starrett Precision Tools Catalog 28, PDF page 40",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,81,,"With Ratchet Stop, No Lock Nut",unknown,Starrett,high,51018,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51018,"With Ratchet Stop, No Lock Nut",item-cat-010354,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010354,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,40,51018,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,25 to 50 mm 436MRL-50 51599 234MB-25 51018,37,"With Ratchet Stop, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010354']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Ratchet Stop, No Lock Nut",English,81,"Starrett Precision Tools Catalog 28, PDF page 40",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,81,,"With Ratchet Stop, No Lock Nut",unknown,Starrett,high,51020,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51020,"With Ratchet Stop, No Lock Nut",item-cat-010355,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010355,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,17,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,40,51020,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,50 to 75 mm 0.01 A36MRL-75 51618 234MB-50 51020,37,"With Ratchet Stop, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010355']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Ratchet Stop, No Lock Nut",English,79,"Starrett Precision Tools Catalog 28, PDF page 40",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,84,,"With Ratchet Stop, No Lock Nut",unknown,Starrett,high,51022,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51022,"With Ratchet Stop, No Lock Nut",item-cat-010356,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010356,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,40,51022,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,75 to 100 mm SUL 436MRL-100 51635 234MB-75 51022,37,"With Ratchet Stop, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010356']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Ratchet Stop, No Lock Nut",English,82,"Starrett Precision Tools Catalog 28, PDF page 40",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,88,,"With Ratchet Stop, No Lock Nut",unknown,Starrett,high,51024,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51024,"With Ratchet Stop, No Lock Nut",item-cat-010357,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010357,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,40,51024,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,100 to 125 mm A36MRL-125 51652 234MB-100 51024,37,"With Ratchet Stop, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010357']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Ratchet Stop, No Lock Nut",English,84,"Starrett Precision Tools Catalog 28, PDF page 40",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,89,,"With Ratchet Stop, No Lock Nut",unknown,Starrett,high,51026,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51026,"With Ratchet Stop, No Lock Nut",item-cat-010358,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010358,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,24,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,40,51026,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,125 to 150 mm 436MRL-150 51669 234MB-125 51026,37,"With Ratchet Stop, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010358']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",English,85,"Starrett Precision Tools Catalog 28, PDF page 41",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,85,,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",unknown,Starrett,high,51029,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-005,51029,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",item-cat-010359,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010359,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,41,51029,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",37,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-005', 'item-cat-010359']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",English,85,"Starrett Precision Tools Catalog 28, PDF page 41",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,83,,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",unknown,Starrett,high,51031,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-005,51031,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",item-cat-010360,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010360,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,41,51031,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,51739 234B-8 51031,37,"7 to 8"" A36RLZ-8 51711 A436RL-8 51712 234B-7 51029",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-005', 'item-cat-010360']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,6 to 7” A36RLZ-7 436RL-7 51684,English,82,"Starrett Precision Tools Catalog 28, PDF page 41",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,86,,6 to 7” A36RLZ-7 436RL-7 51684,unknown,Starrett,high,51684,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-005,51684,6 to 7” A36RLZ-7 436RL-7 51684,item-cat-010361,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010361,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,41,51684,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,6 to 7” A36RLZ-7 436RL-7 51684,37,6 to 7” A36RLZ-7 436RL-7 51684,,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-005', 'item-cat-010361']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"8 to 9” , | 436RLZ-9 A436RL-9 51740",English,78,"Starrett Precision Tools Catalog 28, PDF page 41",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,80,,"8 to 9” , | 436RLZ-9 A436RL-9 51740",unknown,Starrett,high,51740,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-005,51740,"8 to 9” , | 436RLZ-9 A436RL-9 51740",item-cat-010362,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010362,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,41,51740,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,"8 to 9” , | 436RLZ-9 A436RL-9 51740",37,"8 to 9” , | 436RLZ-9 A436RL-9 51740",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-005', 'item-cat-010362']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"Bt 10"" | °°"" A36RLZ-10 436RL-10 51768",English,79,"Starrett Precision Tools Catalog 28, PDF page 41",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,89,,"Bt 10"" | °°"" A36RLZ-10 436RL-10 51768",unknown,Starrett,high,51768,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-006,51768,"Bt 10"" | °°"" A36RLZ-10 436RL-10 51768",item-cat-010363,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010363,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,41,51768,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,"Bt 10"" | °°"" A36RLZ-10 436RL-10 51768",37,"Bt 10"" | °°"" A36RLZ-10 436RL-10 51768",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-006', 'item-cat-010363']",
