archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,5” blade. BENT CHISEL SCRAPER,English,86,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,65,,Miscellaneous Blades,2016,Gregg Distributors Ltd.,low,ST-5-F,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-013,ST-5-F,Miscellaneous Blades,item-cat-002583,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002583,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-5-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-5-F, 5” blade. BENT CHISEL SCRAPER",37,Miscellaneous Blades,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-013', 'item-cat-002583']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,6” blade. •3” Bent chisel and wide offset high-carbon,English,85,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,66,,Miscellaneous Blades,2016,Gregg Distributors Ltd.,low,ST-6-F,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-013,ST-6-F,Miscellaneous Blades,item-cat-002584,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002584,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-6-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-6-F, 6” blade. •3” Bent chisel and wide offset high-carbon",37,Miscellaneous Blades,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-013', 'item-cat-002584']",
True,Historical catalog; Canadian supplier reference,2016,Door / Window Hardware,pg-shelter-door-hardware,Door / Window Hardware,,3” flexible wall scraper. •Positive lock system •Replaceable single-edge razor blade,English,80,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-windows-doors,need-shelter-windows-doors,76,,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,2016,Gregg Distributors Ltd.,medium,SW-3-F,need-shelter,78,Shelter / Windows / Doors / Hardware,4,pg-shelter-door-hardware-page-002,SW-3-F,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,item-cat-002585,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002585,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,SW-3-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. SW-3-F, 3” flexible wall scraper. •Positive lock system •Replaceable single-edge razor blade",87,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,,pg-shelter-door-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-windows-doors', 'pg-shelter-door-hardware', 'pg-shelter-door-hardware-page-002', 'item-cat-002585']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,3” stiff wall scraper. birch handle nailed to the blade •Durable industrial knives to,English,80,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,77,,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,2016,Gregg Distributors Ltd.,medium,SW-3-S,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,SW-3-S,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,item-cat-002586,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002586,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,SW-3-S,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. SW-3-S, 3” stiff wall scraper. birch handle nailed to the blade •Durable industrial knives to Part No. RS-2-B, Pack of 5 replacement single edge carbon",87,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002586']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,4” flexible wall scraper. SHORT POINT INDUSTRIAL FLOORING KNIFE •Scrapes and cleans windows and various surfaces.,English,78,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,75,,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,2016,Gregg Distributors Ltd.,medium,SW-4-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,SW-4-F,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,item-cat-002587,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002587,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,SW-4-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. SW-4-F, 4” flexible wall scraper. SHORT POINT INDUSTRIAL FLOORING KNIFE •Scrapes and cleans windows and various surfaces.",87,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002587']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,5” flexible wall scraper. •Chrome vanadium steel blade - 0.050’’ thick •Heat-treated,English,78,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,72,,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,2016,Gregg Distributors Ltd.,medium,SW-5-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,SW-5-F,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,item-cat-002588,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002588,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,SW-5-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. SW-5-F, 5” flexible wall scraper. •Chrome vanadium steel blade - 0.050’’ thick •Heat-treated, Part No. RS-100, Plastic razor scraper, carded.",87,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002588']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,"6” flexible wall scraper. tempered, ground, honed and polished •Ergonomic painted",English,86,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,75,,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,2016,Gregg Distributors Ltd.,medium,SW-6-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,SW-6-F,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,item-cat-002589,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002589,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,SW-6-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. SW-6-F, 6” flexible wall scraper. tempered, ground, honed and polished •Ergonomic painted Part No. RS-300, Metal razor scraper, carded.",87,TAPING KNIVES RETRACTABLE RAZOR SCRAPER & BLADES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002589']",
True,Historical catalog; Canadian supplier reference,2016,Tool Storage / Boxes / Cabinets,pg-tools-storage,Tool Storage / Boxes / Cabinets,,1-3/4” wood scraper w/ 7-5/8” handle.,English,85,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hardware,need-tools-repair-hardware,77,,Tool Boxes & Hand Tools,2016,Gregg Distributors Ltd.,medium,W-1-3/4,need-tools-repair,78,Tools / Tool Storage,16,pg-tools-storage-page-005,W-1-3/4,Tool Boxes & Hand Tools,item-cat-002590,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002590,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,W-1-3/4,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. PW-1-1/4-F, 11⁄4” blade. Part No. W-1-3/4, 1-3/4” wood scraper w/ 7-5/8” handle. Part No. C-1, w/ hardwood birch handle.",37,Tool Boxes & Hand Tools,,pg-tools-storage,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hardware', 'pg-tools-storage', 'pg-tools-storage-page-005', 'item-cat-002590']",
True,Historical catalog; Canadian supplier reference,2016,Tool Storage / Boxes / Cabinets,pg-tools-storage,Tool Storage / Boxes / Cabinets,,Replacement blade for #W-1-3/4 wood,English,80,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hardware,need-tools-repair-hardware,71,,Tool Boxes & Hand Tools,2016,Gregg Distributors Ltd.,medium,W-1-3/4-B,need-tools-repair,78,Tools / Tool Storage,16,pg-tools-storage-page-005,W-1-3/4-B,Tool Boxes & Hand Tools,item-cat-002591,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002591,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,W-1-3/4-B,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. W-1-3/4-B, Replacement blade for #W-1-3/4 wood",37,Tool Boxes & Hand Tools,,pg-tools-storage,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hardware', 'pg-tools-storage', 'pg-tools-storage-page-005', 'item-cat-002591']",
True,Historical catalog; Canadian supplier reference,2016,Tool Storage / Boxes / Cabinets,pg-tools-storage,Tool Storage / Boxes / Cabinets,,2-1/2” wood scraper w/ 14” handle.,English,85,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hardware,need-tools-repair-hardware,72,,Tool Boxes & Hand Tools,2016,Gregg Distributors Ltd.,medium,W-14,need-tools-repair,78,Tools / Tool Storage,16,pg-tools-storage-page-005,W-14,Tool Boxes & Hand Tools,item-cat-002592,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002592,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,W-14,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. PW-1-1/4-C, 11⁄4” chisel edge blade. Part No. W-14, 2-1/2” wood scraper w/ 14” handle. Part No. C-4-B, Replacement blade for #C-4 linoleum knife.",37,Tool Boxes & Hand Tools,,pg-tools-storage,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hardware', 'pg-tools-storage', 'pg-tools-storage-page-005', 'item-cat-002592']",
