archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog; Canadian supplier reference,2016,Water Fittings / Couplings / Valves,pg-water-fittings,Water Fittings / Couplings / Valves,,Rear axle pulling plate.,English,81,"Gregg Distributors Product Catalogue, PDF page 223",88,high,explicit_part_number,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,77,,Drive Axle Service Tools,2016,Gregg Distributors Ltd.,medium,7372,need-water,78,Water / Fittings / Couplings,2,pg-water-fittings-page-001,7372,Drive Axle Service Tools,item-cat-001729,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001729,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,223,7372,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. 6935, Service Adapter for Dana 60 4 Part No. 7372, Rear axle pulling plate.",96,Drive Axle Service Tools,,pg-water-fittings,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-fittings', 'pg-water-fittings-page-001', 'item-cat-001729']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,Rear axle pulling plate with,English,83,"Gregg Distributors Product Catalogue, PDF page 223",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,59,,Drive Axle Service Tools,2016,Gregg Distributors Ltd.,low,7374,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-007,7374,Drive Axle Service Tools,item-cat-001730,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001730,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,223,7374,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"WD front drive axles. Part No. 7374, Rear axle pulling plate with",37,Drive Axle Service Tools,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-007', 'item-cat-001730']",
True,Historical catalog; Canadian supplier reference,2016,Fasteners,pg-tools-fasteners,Fasteners,,"GM plastic pin CV U-joints. slide hammers having 5/8-18 threads. studs up to 9/16” diameter. Fits 4-, 5-, or 6-bolt",English,83,"Gregg Distributors Product Catalogue, PDF page 223",88,high,explicit_part_number,need-tools-repair-fasteners,need-tools-repair-fasteners,74,,Drive Axle Service Tools,2016,Gregg Distributors Ltd.,medium,7494A,need-tools-repair,78,Tools / Fasteners,16,pg-tools-fasteners-page-002,7494A,Drive Axle Service Tools,item-cat-001731,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001731,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,223,7494A,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"GM plastic pin CV U-joints. slide hammers having 5/8-18 threads. studs up to 9/16” diameter. Fits 4-, 5-, or 6-bolt Part No. 7494A.",37,Drive Axle Service Tools,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-002', 'item-cat-001731']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,Maximum jaw spread is 3-1/4”.,English,83,"Gregg Distributors Product Catalogue, PDF page 223",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,57,,BALL JOINT SEPARATOR SUPER DUTY PITMAN ARM PITMAN ARM PULLER PITMAN ARM PULLER,2016,Gregg Distributors Ltd.,low,8150,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-006,8150,BALL JOINT SEPARATOR SUPER DUTY PITMAN ARM PITMAN ARM PULLER PITMAN ARM PULLER,item-cat-001732,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001732,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,223,8150,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Maximum jaw spread is 3-1/4”. Part No. 7310A, For medium- and heavy-duty Part No. 8150.",37,BALL JOINT SEPARATOR SUPER DUTY PITMAN ARM PITMAN ARM PULLER PITMAN ARM PULLER,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-006', 'item-cat-001732']",
True,Historical catalog; Canadian supplier reference,2016,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,,English,85,"Gregg Distributors Product Catalogue, PDF page 224",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,72,,(STANDARD & HD) ALTERNATOR PULLEY ALTERNATOR PULLEY PULLEY KIT LEG SET,2016,Gregg Distributors Ltd.,medium,4529,need-transportation,78,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-003,4529,(STANDARD & HD) ALTERNATOR PULLEY ALTERNATOR PULLEY PULLEY KIT LEG SET,item-cat-001733,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001733,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,224,4529,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. 7501, Cover sizes from removal. Part No. 4529. Part No. 7830A. on Ford and Chrysler vehicles.",62,(STANDARD & HD) ALTERNATOR PULLEY ALTERNATOR PULLEY PULLEY KIT LEG SET,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-003', 'item-cat-001733']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,For full-size 3/4 ton and 1 ton pickups including Super Duty,English,84,"Gregg Distributors Product Catalogue, PDF page 224",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,73,,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,2016,Gregg Distributors Ltd.,medium,6084,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-001,6084,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,item-cat-001734,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001734,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,224,6084,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. 6084, For full-size 3/4 ton and 1 ton pickups including Super Duty",87,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-001', 'item-cat-001734']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,For Ford 3/4-ton and 1-ton trucks with 1-13/16” dia. adjusting,English,80,"Gregg Distributors Product Catalogue, PDF page 224",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,73,,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,2016,Gregg Distributors Ltd.,medium,6274,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-001,6274,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,item-cat-001735,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001735,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,224,6274,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. 6274, For Ford 3/4-ton and 1-ton trucks with 1-13/16” dia. adjusting",87,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-001', 'item-cat-001735']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,Set consists of the following tools below in a blow-molded 4X4s having the vacuum-operated front axle.,English,82,"Gregg Distributors Product Catalogue, PDF page 224",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,69,,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,2016,Gregg Distributors Ltd.,medium,6275,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-001,6275,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,item-cat-001736,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001736,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,224,6275,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"ball joints. Also for general service Part No. 6275, Set consists of the following tools below in a blow-molded 4X4s having the vacuum-operated front axle.",87,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-001', 'item-cat-001736']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,,English,84,"Gregg Distributors Product Catalogue, PDF page 224",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,72,,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,2016,Gregg Distributors Ltd.,medium,6299,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-001,6299,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,item-cat-001737,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001737,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,18,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,224,6299,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. 6299. Part No. 7095, For compact cars with 3/4” dia. adjusting sleeves. vacuum-operated front axle.",87,5 PC. SEPARATOR SET TIE ROD ADJUSTING TOOL SET FORD AXLE SHAFT SEAL INSTALLERS,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-001', 'item-cat-001737']",
True,Historical catalog; Canadian supplier reference,2016,General Hardware / Handles / Hinges,pg-tools-hardware,General Hardware / Handles / Hinges,,(21⁄2” to 10” diameter),English,84,"Gregg Distributors Product Catalogue, PDF page 224",88,high,explicit_part_number,need-tools-repair-hardware,need-tools-repair-hardware,70,,STRUTTAMERTM HD STRUT SPRING COMPRESSOR CLAMSHELL STRUT SPRING COMPRESSOR,2016,Gregg Distributors Ltd.,medium,6494,need-tools-repair,78,Tools / Hardware,16,pg-tools-hardware-page-003,6494,STRUTTAMERTM HD STRUT SPRING COMPRESSOR CLAMSHELL STRUT SPRING COMPRESSOR,item-cat-001738,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-001738,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,224,6494,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,(21⁄2” to 10” diameter) Part No. 6494.,37,STRUTTAMERTM HD STRUT SPRING COMPRESSOR CLAMSHELL STRUT SPRING COMPRESSOR,,pg-tools-hardware,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hardware', 'pg-tools-hardware', 'pg-tools-hardware-page-003', 'item-cat-001738']",
