pid,dimension_order,dimension_name,member_count,example_members
37100182,1,International Standard Classification of Education (ISCED),8,"Bachelor's or equivalent | Doctoral or equivalent | Master's or equivalent | Not applicable, International Standard Classification of Education (ISCED) | Post-secondary non-tertiary education | Short-cycle tertiary education | Total, International Standard Classification of Education (ISCED) | Upper secondary education"
37100182,2,Field of study,403,"Aboriginal and foreign languages, literatures and linguistics [16] | Aboriginal and foreign languages, literatures and linguistics, other [16.99] | Aboriginal languages, literatures and linguistics [16.10] | Accounting and computer science [30.16] | Accounting and related services [52.03] | Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD) [51.05] | Aerospace, aeronautical and astronautical/space engineering [14.02] | African languages, literatures and linguistics [16.02] | Agricultural and domestic animal services [1.05] | Agricultural and food products processing (except cannabis) [1.04c] | Agricultural business and management [1.01] | Agricultural engineering [14.03] | Agricultural mechanization [1.02] | Agricultural production operations [1.03] | Agricultural public services [1.08] | Agriculture, agriculture operations and related sciences (except cannabis) [1.c] | Agriculture, agriculture operations and related sciences, other [1.99] | Agriculture, general [1.00] | Air transportation [49.01] | Allied health and medical assisting services [51.08]"
37100182,3,Institution type,3,"College | Total, institution type | University"
37100182,4,Registration status,3,"Full-time student | Part-time student | Total, registration status"
37100182,5,Gender,4,"Female gender | Gender unknown | Male gender | Total, gender"
37100182,6,Selected academic period,1,Fall snapshot
37100183,1,International Standard Classification of Education (ISCED),8,"Bachelor's or equivalent | Doctoral or equivalent | Master's or equivalent | Not applicable, International Standard Classification of Education (ISCED) | Post-secondary non-tertiary education | Short-cycle tertiary education | Total, International Standard Classification of Education (ISCED) | Upper secondary education"
37100183,2,Field of study,407,"Aboriginal and foreign languages, literatures and linguistics [16] | Aboriginal and foreign languages, literatures and linguistics, other [16.99] | Aboriginal languages, literatures and linguistics [16.10] | Accounting and computer science [30.16] | Accounting and related services [52.03] | Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD) [51.05] | Aerospace, aeronautical and astronautical/space engineering [14.02] | African languages, literatures and linguistics [16.02] | Agricultural and domestic animal services [1.05] | Agricultural and food products processing (except cannabis) [1.04c] | Agricultural business and management [1.01] | Agricultural engineering [14.03] | Agricultural mechanization [1.02] | Agricultural production operations [1.03] | Agricultural public services [1.08] | Agriculture, agriculture operations and related sciences (except cannabis) [1.c] | Agriculture, agriculture operations and related sciences, other [1.99] | Agriculture, general [1.00] | Air transportation [49.01] | Allied health and medical assisting services [51.08]"
37100183,3,Institution type,3,"College | Total, institution type | University"
37100183,4,Gender,4,"Female gender | Gender unknown | Male gender | Total, gender"
37100184,1,International Standard Classification of Education (ISCED),3,"Post-secondary non-tertiary education | Total, International Standard Classification of Education (ISCED) | Upper secondary education"
37100184,2,Institution type,3,"College | Total, institution type | University"
37100184,3,"Classification of Instructional Programs, STEM and BHASE groupings",14,"Arts and humanities [b.2] | BHASE [b] | Business and administration [b.1] | Education and teaching [b.6] | Engineering and engineering technology [a.2] | Health care [b.5] | Legal professions and studies [b.4] | Mathematics and computer and information sciences [a.3] | STEM [a] | Science and science technology [a.1] | Social and behavioural sciences [b.3] | Total, instructional program | Trades, services, natural resources and conservation [b.7] | Unclassified"
37100184,4,Status of student in Canada,4,"Canadian students | International students | Not reported, status of student in Canada | Total, status of student in Canada"
37100184,5,Country of citizenship,252,Afghanistan [41004] | Africa [3] | Albania [24008] | Algeria [33012] | American Samoa [51016] | Americas [1] | Andorra [24020] | Angola [34024] | Anguilla [13660] | Antigua and Barbuda [13028] | Argentina [14032] | Armenia [41051] | Aruba [13533] | Asia [4] | Australia [51036] | Austria [21040] | Azerbaijan [41031] | Bahamas [13044] | Bahrain [41048] | Bangladesh [44050]
37100184,6,Gender,4,"Female gender | Gender unknown | Male gender | Total, gender"
37100184,7,Selected academic period,1,Fall snapshot
37100185,1,International Standard Classification of Education (ISCED),4,"Post-secondary non-tertiary education | Short-cycle tertiary education | Total, International Standard Classification of Education (ISCED) | Upper secondary education"
37100185,2,Institution type,3,"College | Total, institution type | University"
37100185,3,"Classification of Instructional Programs, STEM and BHASE groupings",14,"Arts and humanities [b.2] | BHASE [b] | Business and administration [b.1] | Education and teaching [b.6] | Engineering and engineering technology [a.2] | Health care [b.5] | Legal professions and studies [b.4] | Mathematics and computer and information sciences [a.3] | STEM [a] | Science and science technology [a.1] | Social and behavioural sciences [b.3] | Total, instructional program | Trades, services, natural resources and conservation [b.7] | Unclassified"
37100185,4,Status of student in Canada,4,"Canadian students | International students | Not reported, status of student in Canada | Total, status of student in Canada"
37100185,5,Country of citizenship,234,Afghanistan [41004] | Africa [3] | Albania [24008] | Algeria [33012] | Americas [1] | Andorra [24020] | Angola [34024] | Anguilla [13660] | Antigua and Barbuda [13028] | Argentina [14032] | Armenia [41051] | Aruba [13533] | Asia [4] | Australia [51036] | Austria [21040] | Azerbaijan [41031] | Bahamas [13044] | Bahrain [41048] | Bangladesh [44050] | Barbados [13052]
37100185,6,Gender,4,"Female gender | Gender unknown | Male gender | Total, gender"
37100188,1,Level of study,6,All levels of study | Bachelor's | College | Doctorate | Master's | Professional
37100188,2,Field of study,15,"Agriculture, natural resources and conservation [9] | All fields of study | All fields of study - BHASE [b] | All fields of study - STEM [a] | Architecture, engineering, and related technologies [8] | Business, management and public administration [5] | Education [1] | Health and related fields [10] | Humanities [3] | Mathematics, computer and information sciences [7] | Other instructional programs [12] | Personal, protective and transportation services [11] | Physical and life sciences and technologies [6] | Social and behavioural sciences and law [4] | Visual and performing arts, and communications technologies [2]"
37100188,3,Sex,3,Both sexes | Females | Males
37100188,4,Work-integrated learning (WIL) participation,3,All graduates | Did not participate in work-integrated learning (WIL) | Participated in work-integrated learning (WIL)
37100188,5,Statistics,13,Employed | Employed full time | Employed part time | Estimated gross annual earnings - 25th percentile | Estimated gross annual earnings - 75th percentile | Estimated gross annual earnings - median | Job related to their studies | Not in the labour force | Number of graduates | Permanent job | Qualified for their job | Satisfied with their job | Unemployed
37100189,1,Level of study,6,All levels of study | Bachelor's | College | Doctorate | Master's | Professional
37100189,2,Field of study,15,"Agriculture, natural resources and conservation [9] | All fields of study | All fields of study - BHASE [b] | All fields of study - STEM [a] | Architecture, engineering, and related technologies [8] | Business, management and public administration [5] | Education [1] | Health and related fields [10] | Humanities [3] | Mathematics, computer and information sciences [7] | Other instructional programs [12] | Personal, protective and transportation services [11] | Physical and life sciences and technologies [6] | Social and behavioural sciences and law [4] | Visual and performing arts, and communications technologies [2]"
37100189,3,Sex,3,Both sexes | Females | Males
37100189,4,Work-integrated learning (WIL) participation,3,All graduates | Did not participate in work-integrated learning (WIL) | Participated in work-integrated learning (WIL)
37100189,5,Statistics,13,Employed | Employed full time | Employed part time | Estimated gross annual earnings - 25th percentile | Estimated gross annual earnings - 75th percentile | Estimated gross annual earnings - median | Job related to their studies | Not in the labour force | Number of graduates | Permanent job | Qualified for their job | Satisfied with their job | Unemployed
