institution,level,department,course_name,course_code,credit,division
Adams State College,High School,Mathematics,Algebra skills,099-3,3S,
Adams State College,High School,Mathematics,Arithmetic,095-3,3S,
Adams State College,College,Business,Auditing,407,3S,U
Adams State College,College,Business,Business communications,265,3S,L
Adams State College,College,Business,Business computer applications,120,3S,L
Adams State College,College,Business,Business law,211,3S,L
Adams State College,College,Business,Business statistics,318,3S,U
Adams State College,College,Business,Fundamentals of income tax,355,3S,U
Adams State College,College,Governmental and institutional accounting,Personal finance,114,3S,L
Adams State College,College,Governmental and institutional accounting,Principles of management,361,3S,U
Adams State College,College,Economics,Managerial economics,433,3S,U
Adams State College,College,English,Communication arts (I),101,3S,L
Adams State College,College,English,Communication arts (II),102,3S,L
Adams State College,College,English,Development of vocabulary,280,2S,L
Adams State College,College,Environmental Science,Environmental control,431,2S,U
Adams State College,College,Environmental Science,Toxic chemicals,325,3S,U
Adams State College,College,History,History of the Southwest,305,3S,U
Adams State College,College,History,Mexico,357,3S,U
Adams State College,College,Mathematics,Differential equations,327,3S,U
Adams State College,College,Psychology,Human development,205,3S,L
Adams State College,College,Psychology,Human development: conception-childhood,204,3S,L
Adams State College,College,Psychology,Psychological testing,445,3S,U
Adams State College,College,Psychology,Success psychology,179,3S,L
Adams State College,College,Science,Contemporary topics in biology,507,2S,U
Adams State College,College,Sociology,Formation of self-concept,259,2S,L
Arizona State University,College,Art History,Art of the Western world I,AR101,3S,L
Arizona State University,College,Art History,Art of the Western world II,AR102,3S,L
Arizona State University,College,Art History,Western American art,AR494,3S,U
Arizona State University,College,Business,Business communications,BU233,3S,L
Arizona State University,College,Business,Business report writing,BU431,3S,U
Arizona State University,College,Communication,Communication and aging,C0417,3S,U
Arizona State University,College,Communication,Crisis communication,C0414,3S,U
Arizona State University,College,Elements of intercultural communication,Gender and communication,C0316,3S,U
Arizona State University,College,Elements of intercultural communication,Intercultural communication,C0463,3S,U
Arizona State University,College,Elements of intercultural communication,Medical communication,C0494,3S,U
Arizona State University,College,Elementary school organization and,Home-school relations,ED498,3S,U
Arizona State University,College,French,Elementary French,FR101,4S,L
Arizona State University,College,French,Elementary French,FR102,4S,L
Arizona State University,College,French,French literature,FR321,3S,U
Arizona State University,College,French,French literature,FR322,3S,U
Arizona State University,College,French,Intermediate grammar review,FR201,4S,L
Arizona State University,College,French,Intermediate reading,FR205,4S,L
Arizona State University,College,German,Elementary German,GE101,4S,L
Arizona State University,College,German,Elementary German,GE102,4S,L
Arizona State University,College,German,Intermediate German,GE201,4S,L
Arizona State University,College,German,Intermediate German,GE202,4S,L
Arizona State University,College,Higher Education,Successful recareering,AE494,3S,U
Arizona State University,College,History,Asian civilizations,HI306,3S,U
Arizona State University,College,History,Contemporary America,HI411,3S,U
Arizona State University,College,History,Introduction to Japan,HI 107,3S,L
Arizona State University,College,History,Japan,HI478,3S,U
Arizona State University,College,History,Japan,HI477,3S,U
Arizona State University,College,History,The United States and Japan,HI471,3S,U
Arizona State University,College,History,United States history,HI104,3S,L
Arizona State University,College,History,United States history,HI103,3S,L
Arizona State University,College,Home Economics,Family relationships,FA331,3S,U
Arizona State University,College,Italian,Elementary Italian,IT101,4S,L
Arizona State University,College,Italian,Elementary Italian,IT102,4S,L
Arizona State University,College,Italian,Intermediate Italian,IT201,4S,L
Arizona State University,College,Italian,Intermediate Italian,IT202,4S,L
Arizona State University,College,Italian,justice Studies American Indian justice,JU294,3S,U
Arizona State University,College,Community relations in the justice system,Concepts and issues of justice,JU200,3S,L
Arizona State University,College,Prevention of delinquent and criminal,behavior,JU311,3S,U
Arizona State University,College,Prevention of delinquent and criminal,Procedural criminal law,JU462,3S,U
Arizona State University,College,Prevention of delinquent and criminal,Research in justice studies,JU301,3S,U
Arizona State University,College,Prevention of delinquent and criminal,Substantive criminal law,JU461,3S,U
Arizona State University,College,Prevention of delinquent and criminal,The adjudication function,JU308,3S,U
Arizona State University,College,Prevention of delinquent and criminal,The justice system,JU100,3S,U
Arizona State University,College,Prevention of delinquent and criminal,The police function,JU306,3S,U
Arizona State University,College,Mathematics,Brief calculus,MA210,3S,L
Arizona State University,College,Mathematics,College algebra,MAI 17,3S,L
Arizona State University,College,Mathematics,Finite mathematics,MAI 19,3S,L
Arizona State University,College,Mathematics,Intermediate algebra,MA106,3S,L
Arizona State University,College,Mathematics,Precalculus,MAI 70,3S,L
Arizona State University,College,Spanish,Elementary Spanish,SP101,4S,L
Arizona State University,College,Spanish,Elementary Spanish,SP102,4S,L
Arizona State University,College,Spanish,Intermediate Spanish,SP201,4S,L
Arizona State University,College,Spanish,Intermediate Spanish,SP202,4S,L
Arizona State University,College,Introduction to speech and hearing science,Nature of fluency disorders,SH431,2S,U
Athabasca University,College,Accounting,Advanced financial accounting,451,3U,U
Athabasca University,College,Accounting,Financial accounting theory,453,3U,U
Athabasca University,College,Accounting,"Mgmt accounting II: strategy, planning & budgeting",356,3U,U
Athabasca University,College,Administration,Administrative principles,232,3U,L
Athabasca University,College,Administration,Business policy,404,3U,U
Athabasca University,College,Independent study in administrative,studies,499,3U,U
Athabasca University,College,Independent study in administrative,Writing in organizations,233,3U,L
Athabasca University,College,Advanced readings in regional ethnology,Anthropology and the city,394,3U,U
Athabasca University,College,Advanced readings in regional ethnology,Language and culture,354,3U,U
Athabasca University,College,Advanced readings in regional ethnology,Special topics in anthropology,406,3U,U
Athabasca University,College,Advanced readings in regional ethnology,The Inuit way,307,3U,U
Athabasca University,College,Advanced readings in regional ethnology,The anthropology of gender,375,3U,U
Athabasca University,College,Applied Studies,Community health planning,336,3U,U
Athabasca University,College,Applied Studies,Practician: community health administration,335,6U,U
Athabasca University,College,Art His ton/,A survey of western art,I 201,3U,L
Athabasca University,College,Art His ton/,A survey of western art,II 202,3U,L
Athabasca University,College,Biology,Animal behaviour,342,3U,U
Athabasca University,College,Biology,Biological laboratories,206,3U,L
Athabasca University,College,Biology,Biology projects,I 495,3U,U
Athabasca University,College,Biology,Cell biology,401,3U,U
Athabasca University,College,Biology,Human genetics,341,3U,U
Athabasca University,College,Biology,Human physiology,230,6U,L
Athabasca University,College,Biology,Principles of biology,I 204,3U,L
Athabasca University,College,Biology,Principles of Biology,II 205,3U,L
Athabasca University,College,Biology,Wild flowers,321,3U,U
Athabasca University,College,Chemistry,Chemical principles,I 217,3U,L
Athabasca University,College,Chemistry,Chemical principles,II 218,3U,L
Athabasca University,College,Chemistry,Chemistry projects,I 495,3U,U
Athabasca University,College,Chemistry,Chemistry projects,II 496,3U,U
Athabasca University,College,Chemistry,Introduction to biochemistry,401,3U,U
Athabasca University,College,Chemistry,Organic chemistry,245,3U,U
Athabasca University,College,Computers and management information,systems,322,3U,U
Athabasca University,College,Computer and information systems projects,Computer programming in,C 305,3U,U
Athabasca University,College,Computer and information systems projects,Expert systems in business,455,3U,U
Athabasca University,College,Computer and information systems projects,Fortran programming,220,3U,L
Athabasca University,College,Economic development in the third world,Microeconomics,247,3U,L
Athabasca University,College,"Money, banking and Canadian financial",institutions,385,3U,U
Athabasca University,College,Political economy of resource dev in,Canada,375,3U,U
Athabasca University,College,English,Advanced composition,353,3U,U
Athabasca University,College,English,American literature,I 344,3U,U
Athabasca University,College,English,American literature,II 345,3U,U
Athabasca University,College,English,Basic composition,155,3U,L
Athabasca University,College,English,Canadian drama,431,3U,U
Athabasca University,College,Early twentieth-century British literature,English literature before 1800,310,6U,U
Athabasca University,College,Early twentieth-century British literature,History of drama,300,3U,U
Athabasca University,College,Early twentieth-century British literature,Introduction to literature,II 202,3U,L
Athabasca University,College,Early twentieth-century British literature,Literature for children,305,3U,U
Athabasca University,College,Early twentieth-century British literature,Literature of the Americas,358,6U,U
Athabasca University,College,Early twentieth-century British literature,Literature of the Canadian west,437,6U,U
Athabasca University,College,Early twentieth-century British literature,Modern British drama,432,3U,U
Athabasca University,College,Early twentieth-century British literature,Native literature in Canada,308,3U,U
Athabasca University,College,Early twentieth-century British literature,"Poetry, tradition, and change",362,3U,U
Athabasca University,College,Early twentieth-century British literature,Prose forms,211,3U,L
Athabasca University,College,Early twentieth-century British literature,Shakespeare,343,6U,U
Athabasca University,College,Early twentieth-century British literature,Shakespeare,I 324,3U,U
Athabasca University,College,Early twentieth-century British literature,Shakespeare,II 396,3U,U
Athabasca University,College,Early twentieth-century British literature,The short story,360,3U,U
Athabasca University,College,Early twentieth-century British literature,Twentieth-century English novel,397,6U,U
Athabasca University,College,Early twentieth-century British literature,Women in literature,307,3U,U
Athabasca University,College,Early twentieth-century British literature,Writing skills,255,3U,L
Athabasca University,College,Environmental Studies,Introduction to global change,210,3U,L
Athabasca University,College,Finance,Advanced corporate finance,470,3U,U
Athabasca University,College,Finance,Personal finance,322,3U,U
Athabasca University,College,French,Composition francaise,401,3U,U
Athabasca University,College,French,Directed studies in French,498,3U,U
Athabasca University,College,French,Directed studies in French,I 497,3U,U
Athabasca University,College,French,Directed studies in French,II 498,3U,U
Athabasca University,College,French,First year university French,I 200,3U,L
Athabasca University,College,French,First year university French,II 201,3U,L
Athabasca University,College,French,Francais langue des affaires,387,3U,U
Athabasca University,College,French,French for beginners,II 101,3U,L
Athabasca University,College,Introduction la litterature canadienne,francaise,363,6U,U
Athabasca University,College,Introduction la litterature canadienne,Le Roman quebecois,464,3U,U
Athabasca University,College,Introduction la litterature canadienne,Pense et structure de l'anglais et du Francais,402,3U,U
Athabasca University,College,Introduction la litterature canadienne,Pratique orale thematique,383,3U,U
Athabasca University,College,Introduction la litterature canadienne,Second year university French,362,6U,U
Athabasca University,College,Geography,Canadian urban development,310,6U,U
Athabasca University,College,Geography,Geography projects,I 495,3U,U
Athabasca University,College,Geography,Geography projects,II 496,3U,U
Athabasca University,College,Lab exercises in introductory physical,geography,262,3U,L
Athabasca University,College,Lab exercises in introductory physical,Urban change and conflict,326,3U,U
Athabasca University,College,Geology,Geology projects,I 495,3U,U
Athabasca University,College,Geology,Geology projects,II 496,3U,U
Athabasca University,College,Geology,Introductory historical geology,201,3U,L
Athabasca University,College,Geology,Introductory physical geology,200,3U,L
Athabasca University,College,Geology,Our physical resources,313,3U,U
Athabasca University,College,Geology,Structural geology: architecture of earth's crust,319,3U,U
Athabasca University,College,German,Reading German,I 305,3U,U
Athabasca University,College,History,American history since 1865,379,3U,U
Athabasca University,College,History,American history to 1865,378,3U,U
Athabasca University,College,History,Canada and the bomb: Canada and the world in Cold War,455,3U,U
Athabasca University,College,History,Canadian history: 1867-present,225,3U,L
Athabasca University,College,History,Directed studies in history,I 491,3U,U
Athabasca University,College,Historical foundations of modern science,History of Canadian West,338,bU,U
Athabasca University,College,Introduction to modern European history,Labour and socialist thought,470,3U,U
Athabasca University,College,Introduction to modern European history,"Labour thought, 1800-1850",471,3U,U
Athabasca University,College,Introduction to modern European history,"Labour thought, 1850-1917",472,3U,U
Athabasca University,College,Social and economic history of early,modern Europe,375,3U,U
Athabasca University,College,General / Interdisciplinary,Reformation,374,3U,U
Athabasca University,College,General / Interdisciplinary,The Renaissance,373,3U,U
Athabasca University,College,General / Interdisciplinary,The enlightenment,407,3U,U
Athabasca University,College,General / Interdisciplinary,The history of human conflict,398,bU,U
Athabasca University,College,General / Interdisciplinary,The medieval world,II 372,3U,U
Athabasca University,College,General / Interdisciplinary,The social history of Canada,329,bU,U
Athabasca University,College,General / Interdisciplinary,Twentieth century United States,380,3U,U
Athabasca University,College,General / Interdisciplinary,Western family in history,399,3U,U
Athabasca University,College,Anglo American popular music traditions,Rome and early Christianity,II 321,3U,U
Athabasca University,College,Anglo American popular music traditions,Studies in popular music,423,3U,U
Athabasca University,College,Anglo American popular music traditions,The folk music revival,421,3U,U
Athabasca University,College,Industrial Relations,Canadian industrial relations,311,bU,U
Athabasca University,College,Industrial Relations,Collective bargaining,305,3U,U
Athabasca University,College,Industrial Relations,Labour relations and the law,320,3U,U
Athabasca University,College,Industrial Relations,Occupational health and safety,308,3U,U
Athabasca University,College,Industrial Relations,Public sector labour relations,307,3U,U
Athabasca University,College,Industrial Relations,Introduction to labour studies,200,3U,L
Athabasca University,College,Legal Relations,Administrative law,331,3U,U
Athabasca University,College,Impact of the Canadian charter on labour,relations,310,3U,U
Athabasca University,College,Mathematics,Business mathematics,244,3U,L
Athabasca University,College,Mathematics,Linear algebra,I 270,3U,L
Athabasca University,College,Mathematics,Linear algebra,II 271,3U,U
Athabasca University,College,Community development in native,settlements,315,3U,U
Athabasca University,College,Community development in native,Contemporary native issues,357,3U,U
Athabasca University,College,Community development in native,First year university Cree,211,3U,U
Athabasca University,College,Community development in native,First year university Cree,II 212,3U,U
Athabasca University,College,Health issues and the native peoples of,History of Canada's first nations to 1830,368,3U,U
Athabasca University,College,Health issues and the native peoples of,Introduction to native studies,I 200,3U,L
Athabasca University,College,Health issues and the native peoples of,Introduction to native studies,II 201,3U,L
Athabasca University,College,Health issues and the native peoples of,Introductory Cree,I 111,3U,L
Athabasca University,College,Health issues and the native peoples of,Introductory Cree,II 112,3U,L
Athabasca University,College,Nursing,Concepts in nursing practice,444,3U,U
Athabasca University,College,Nursing,Health assessment,450,3U,U
Athabasca University,College,Principles of management in nursing,practice,432,4U,U
Athabasca University,College,Principles of teaching and learning for,health professionals,482,3U,U
Athabasca University,College,Principles of teaching and learning for,Research in nursing,425,3U,U
Athabasca University,College,Principles of teaching and learning for,Senior focus elective,490,3U,U
Athabasca University,College,Principles of teaching and learning for,Trends and issues in nursing,489,3U,U
Athabasca University,College,Nutrition,Introductory nutrition,330,3U,U
Athabasca University,College,Nutrition,Nutrition in health and disease,405,3U,U
Athabasca University,College,Organizational Behaviour,Motivation and management,319,3U,U
Athabasca University,College,Organizational Behaviour,Organization theory,326,3U,U
Athabasca University,College,Organizational Behaviour,Organizational behaviour,364,3U,U
Athabasca University,College,Organizational Behaviour,Organizational culture,400,3U,U
Athabasca University,College,Philosophy,Basic critical thinking,152,3U,L
Athabasca University,College,Philosophy,Critical thinking,252,3U,L
Athabasca University,College,"Ethics, science, technology, and the",environment,371,3U,U
Athabasca University,College,"Ethics, science, technology, and the",From Socrates to Sartre,261,6U,L
Athabasca University,College,Physics,Introductory physics,274,6U,L
Athabasca University,College,Canada and the global political economy,International political economics: power/ production /global order,483,3U,U
Athabasca University,College,Political Science,Canadian federalism,390,3U,U
Athabasca University,College,Canadian national government and politics,Introduction to political science I: concepts/ structures /institutions,277,3U,L
Athabasca University,College,Introduction to Canadian political economy,Politics and the media,303,3U,U
Athabasca University,College,Introduction to Canadian political economy,Socialization in politics,494,3U,U
Athabasca University,College,Psychology,Abnormal psychology,435,3S,U
Athabasca University,College,Psychology,Biological psychology,402,3U,U
Athabasca University,College,Psychology,Cognitive psychology,455,3U,U
Athabasca University,College,Psychology,Counseling girls and women,343,3U,U
Athabasca University,College,Psychology,General psychology,290,3U,L
Athabasca University,College,Psychology,Independent study,418,3U,U
Athabasca University,College,Introduction to personality theories and,issues,356,3U,U
Athabasca University,College,Introduction to personality theories and,Learning,387,3U,U
Athabasca University,College,Introduction to personality theories and,Learning through life,401,3U,U
Athabasca University,College,Introduction to personality theories and,Psychology as natural science,289,3U,L
Athabasca University,College,Introduction to personality theories and,Psychology of aesthetics,342,3U,U
Athabasca University,College,Introduction to personality theories and,Social psychology,379,3U,U
Athabasca University,College,Teaching and managing the learning,disabled child,400,6U,U
Athabasca University,College,Public Administration,Canadian public administration,390,3U,U
Athabasca University,College,Public Administration,Canadian public finance,372,3U,U
Athabasca University,College,Municipal public administration in Canada,Public policy,403,3U,U
Athabasca University,College,Religious Studies,Introduction to world religions,204,6U,L
Athabasca University,College,Science,Science projects,495,3U,U
Athabasca University,College,Science,Science projects,II 496,3U,U
Athabasca University,College,Science,Scientific reasoning,326,3U,U
Athabasca University,College,Social Science,Aging and you (II): an introduction to gerontology,330,3U,U
Athabasca University,College,Social Science,Canadian ethnic studies,380,3U,U
Athabasca University,College,Social Science,Introduction to sociology,287,3U,U
Athabasca University,College,Selected topics in Canadian society to,women's studies,445,3U,U
Athabasca University,College,Selected topics in Canadian society to,Social organization,300,3U,U
Athabasca University,College,Selected topics in Canadian society to,Sociology of deviance,365,3U,U
Auburn University,College,Biology,Perspectives in biology,BI105,"5Q, LK",L
Auburn University,College,Economics,Economics I,EC200,5Q,L
Auburn University,College,Economics,Economics II,EC202,5Q,L
Auburn University,College,Health Sciences,Health science,HP195,2Q,L
Auburn University,College,History and principles of physical,education,HP201,3Q,L
Auburn University,College,History,History of Alabama,HY381,5Q,U
Auburn University,College,History,History of the US since 1865,HY202,5Q,L
Auburn University,College,Mathematics,College algebra,MH140,5Q,L
Auburn University,College,Political Science,Criminal justice,P0336,3Q,L
Auburn University,College,Political Science,Survey of law enforcement,PO260,5Q,L
Auburn University,College,Psychology,Adult development,PG423,5Q,U
Auburn University,College,Psychology,Psychology,PG211,5Q,L
Ball State University,College,Accounting,Principles of accounting 1,201,3S,L
Ball State University,College,Accounting,Principles of accounting 2,202,3S,L
Ball State University,College,Astronomy,Mysteries of the sky,100,3S,L
Ball State University,College,Criminal Justice and Criminology,Community corrections,361,3S,U
Ball State University,College,Criminal Justice and Criminology,Criminal evidence,330,3S,U
Ball State University,College,Criminal Justice and Criminology,Criminal law,320,3S,U
Ball State University,College,Criminal Justice and Criminology,Current topics in policing,430,3S,U
Ball State University,College,Data and theories of crime and delinquency,Institutional corrections,360,3S,L
Ball State University,College,Introduction to the American criminal,justice system,101,3S,L
Ball State University,College,Introduction to the American criminal,Police systems and organization,333,3S,U
Ball State University,College,Introduction to the American criminal,Policing in American society,300,3S,L
Ball State University,College,Economics,Elementary macroeconomics,202,3S,L
Ball State University,College,Economics,Elementary microeconomics,201,3S,L
Ball State University,College,Economics,Survey of economic ideas,116,3S,L
Ball State University,College,English,English composition 1,103,3S,L
Ball State University,College,English,English composition 2,104,3S,L
Ball State University,College,English,World literature,205,3S,L
Ball State University,College,Finance,Personal finance,110,3S,L
Ball State University,College,Geography,Climate,331,3S,U
Ball State University,College,Geography,Global geography,150,3S,L
Ball State University,College,Geography,Global geography for teachers,111,3S,L
Ball State University,College,Physical geography and earth science,concepts for teachers,111,3S,L
Ball State University,College,Physical geography and earth science,Weather 1,230,3S,L
Ball State University,College,Geology,Geomorphology,240,3S,L
Ball State University,College,Geology,Historical geology,102,3S,L
Ball State University,College,Health Science,Alcohol problems,465,3S,U
Ball State University,College,Health Science,Community health problems,180,3S,L
Ball State University,College,Health Science,Death and dying,471,3S,U
Ball State University,College,Health Science,Drug dependence and abuse,467,3S,U
Ball State University,College,Health Science,Fundamentals of human health,160,3S,L
Ball State University,College,Health Science,Health quackery,468,3S,U
Ball State University,College,History,"American history, 1492-1876",413,3S,U
Ball State University,College,History,Introduction to public history,240,3S,L
Ball State University,College,Introduction to the history of business in,the,US 110,3S,L
Ball State University,College,Introduction to the history of business in,Recent United States history: 1945 to the present,413,3S,U
Ball State University,College,Introduction to the history of business in,The Spanish borderlands,327,3S,U
Ball State University,College,Introduction to the history of business in,World civilization 2,152,3S,L
Ball State University,College,Introduction to the history of business in,World civilization,I 151,3S,L
Ball State University,College,Insurance,Principles of insurance,370,3S,U
Ball State University,College,Journalism,Introduction to advertising,250,3S,L
Brigham Young University,High School,Art,Basic marketing part 1,15,HF,
Brigham Young University,High School,Art,Basic marketing part 2,16,HF,
Brigham Young University,High School,Art,Business communications 7 (HF) Business law part 1,11,HF,
Brigham Young University,High School,Art,Business law part 2,12,HF,
Brigham Young University,High School,Art,Fashion merchandising,34,HF,
Brigham Young University,High School,Psychology and human relations in,marketing,27,HF,
Brigham Young University,High School,Psychology and human relations in,Real estate,40,HF,
Brigham Young University,High School,Psychology and human relations in,Speed writing,13,HF,
Brigham Young University,High School,Psychology and human relations in,Starting your own business,29,HF,
Brigham Young University,High School,Driver Education,Bible as literature,22,HF,
Brigham Young University,High School,Driver Education,Business English 9 (HF) Creative writing,33,HF,
Brigham Young University,High School,Developmental reading with short stories,Expository writing: explaining your ideas,31,HF,
Brigham Young University,High School,Developmental reading with short stories,Narrative and descriptive writing: storytelling,32,HF,
Brigham Young University,High School,Developmental reading with short stories,Practical English: review of fundamentals,20,HF,
Brigham Young University,High School,Developmental reading with short stories,Reading comprehension,23,HF,
Brigham Young University,High School,Developmental reading with short stories,Recreational reading,27,HF,
Brigham Young University,High School,Developmental reading with short stories,Remedial reading,25,HF,
Brigham Young University,High School,Developmental reading with short stories,Self-esteem: a search for dignity and worth,12,HF,
Brigham Young University,High School,Developmental reading with short stories,Spelling,42,HF,
Brigham Young University,High School,Developmental reading with short stories,The year 2100,18,HF,
Brigham Young University,High School,Developmental reading with short stories,Understanding literature,10,HF,
Brigham Young University,High School,Foreign Languages,French 1 part 1,15,"HF, AC",
Brigham Young University,High School,Foreign Languages,French 1 part 2,16,"HF, AC",
Brigham Young University,High School,Foreign Languages,German 1 part 1,11,"HF, AC",
Brigham Young University,High School,Foreign Languages,German 1 part 2,12,"HF, AC",
Brigham Young University,High School,Foreign Languages,German 2 part 1,13,"HF, AC",
Brigham Young University,High School,Foreign Languages,German 2 part 2,14,"HF, AC",
Brigham Young University,High School,Foreign Languages,Japanese 1 part 1,23,"HF, AC",
Brigham Young University,High School,Foreign Languages,Russian 1 part 1,19,HF,
Brigham Young University,High School,Foreign Languages,Russian 1 part 2,20,HF,
Brigham Young University,High School,Mathematics,Analytic geometry,15,HF,
Brigham Young University,High School,Mathematics,Applied math part 1,19,HF,
Brigham Young University,High School,Mathematics,Applied math part 2,20,HF,
Brigham Young University,High School,Mathematics,Pre-algebra part 1,21,HF,
Brigham Young University,High School,Mathematics,Pre-algebra part 2,22,HF,
Brigham Young University,High School,Mathematics,Precalculus 1,23,HF,
Brigham Young University,High School,Mathematics,Precalculus 2,24,HF,
Brigham Young University,High School,Mathematics,Trigonometry part 2,12,HF,
Brigham Young University,High School,Music,Tennis 4 (HF) Science Biology part 1 1 (HF) Biology part 2 2 (HF) Chemistry part 1,20,HF,
Brigham Young University,High School,Music,Chemistry part 2,21,HF,
Brigham Young University,High School,Music,Earth science part 1,13,HF,
Brigham Young University,High School,Music,Earth science part 2,14,HF,
Brigham Young University,High School,Brighton Young University,Ecology 3 (HF) General astronomy,12,HF,
Brigham Young University,High School,Brighton Young University,General chemistry,18,HF,
Brigham Young University,High School,Brighton Young University,Human physiology /anatomy 4 (HF) Physics part 1,22,HF,
Brigham Young University,High School,Brighton Young University,Physics part 2,23,HF,
Brigham Young University,High School,Social Science,American government part 1,12,HF,
Brigham Young University,High School,Social Science,American government part 2,13,HF,
Brigham Young University,High School,Social Science,Consumer economics,18,HF,
Brigham Young University,High School,Social Science,Current events,38,HF,
Brigham Young University,High School,Social Science,Da ting-romance and reason,16,HF,
Brigham Young University,High School,Social Science,How to find your roots,21,HF,
Brigham Young University,High School,Social Science,Introduction to psychology,31,HF,
Brigham Young University,High School,Social Science,Peer counseling,40,HF,
Brigham Young University,High School,Social Science,Personal freedom: how to gain control of your life,14,HF,
Brigham Young University,High School,Social Science,Practical decision making,22,HF,
Brigham Young University,High School,Social Science,Project self-discovery,39,HF,
Brigham Young University,High School,Social Science,Sociology 1,27,HF,
Brigham Young University,High School,Social Science,Sociology 2,28,HF,
Brigham Young University,High School,Social Science,Studying in high school,25,"HF, AC",
Brigham Young University,High School,Understanding and improving your,memory,26,"HF, AC",
Brigham Young University,High School,Understanding and improving your,World history: Western hemisphere (N & S America) 9 (HF) World history: ancient civilizations,11,HF,
Brigham Young University,College,Accounting,Business law in the environment,341,2S,U
Brigham Young University,College,Accounting,Principles of accounting,200,3S,L
Brigham Young University,College,Accounting,Principles of accounting 2,210,3S,L
Brigham Young University,College,Accounting,Principles of financial accounting,201,3S,L
Brigham Young University,College,American Heritage,American heritage,100,3S,L
Brigham Young University,College,Animal Science,Applied animal nutrition,307,3S,U
Brigham Young University,College,Anthropology,Introduction to archaeology,110,3S,L
Brigham Young University,College,Anthropology,Social/cultural anthropology,101,3S,L
Brigham Young University,College,Art,19th-century European art,309,3S,U
Brigham Young University,College,Art,Introduction to calligraphy,109,2S,L
Brigham Young University,College,Art,Modern art,316,3S,U
Brigham Young University,College,Art,Survey of western art,I 211,3S,L
Brigham Young University,College,Art,Survey of western art,II 212,3S,L
Brigham Young University,College,Biology,Heredity and reproduction,276,3S,L
Brigham Young University,College,Biology,Principles of biology,100,3S,L
Brigham Young University,College,Botany,Plants through the ages,105,3S,L
Brigham Young University,College,Business,Marketing management,341,3S,U
Brigham Young University,College,Business Management,Financial management,301,3S,U
Brigham Young University,College,Business Management,Personal finance,200,2S,L
Brigham Young University,College,Chemistry,Elementary college chemistry,100,3S,L
Brigham Young University,College,Engineering mechanics-mechanics of,materials,203,3S,L
Brigham Young University,College,Engineering mechanics-mechanics of,Engineering mechanics-statics,103,2S,L
Brigham Young University,College,Clothing and Textiles,Textiles,261,3S,L
Brigham Young University,College,Communications,Mass communication and society,101,3S,L
Brigham Young University,College,Communications,Public speaking,150,3S,L
Brigham Young University,College,Communications,Rhetorical methods,310,3S,U
Brigham Young University,College,Theory of communication and persuasion,Writing for mass audiences,311,3S,U
Brigham Young University,College,Dance,Aerobic dance,130,"HF, VI, AC",L
Brigham Young University,College,Dance,Social dance: beginning,180,HF,L
Brigham Young University,College,Educational Leadership,The professional teacher,452,IS,U
Brigham Young University,College,Elementary Education,Children's literature,340,3S,U
Brigham Young University,College,English,American literature since 1914,363,3S,U
Brigham Young University,College,English,"English literature, 1603-1660: late Renaissance period",385,3S,U
Brigham Young University,College,English,"English literature, 1780-1832: the Romantic period",374,3S,U
Brigham Young University,College,English,"English literature, 1832 to 1890: Victorian period",375,3S,U
Brigham Young University,College,Expository writing for elementary,education majors,313,3S,U
Brigham Young University,College,Expository writing for elementary,"Fiction, drama, poetry",230,3S,L
Brigham Young University,College,Expository writing for elementary,Fundamentals: literary interpretation and criticism,251,3S,L
Brigham Young University,College,Expository writing for elementary,Grammar and usage,325,3S,U
Brigham Young University,College,Expository writing for elementary,Modern poetry,366,3S,U
Brigham Young University,College,Expository writing for elementary,Technical writing,316,3S,U
Brigham Young University,College,Expository writing for elementary,The American novel,336,3S,U
Brigham Young University,College,Expository writing for elementary,The English novel,333,3S,U
Brigham Young University,College,Expository writing for elementary,The short story,359,3S,U
Brigham Young University,College,Expository writing for elementary,Vocabulary building,225,2S,L
Brigham Young University,College,General / Interdisciplinary,Introduction to family science,160,3S,U
Brigham Young University,College,Food Science and Nutrition,Essentials of human nutrition,100,3S,L
Brigham Young University,College,Geography,Geography and world affairs,120,3S,L
Brigham Young University,College,Geography,Tour operation,352,3S,L
Brigham Young University,College,Geography,United States and Canada,450,3S,U
Brigham Young University,College,Geology,Introduction to geology,101,3S,L
Brigham Young University,College,Geology,Life of the past,103,3S,L
Brigham Young University,College,German for family historians and,Grammar and composition 2,321,3S,U
Brigham Young University,College,Health Sciences,Community health,451,"2S, AC",U
Brigham Young University,College,Health Sciences,Consumer health,370,2S,U
Brigham Young University,College,Driver and safety education workshop,First aid and safety instruction,121,2S,L
Brigham Young University,College,Driver and safety education workshop,Health and lifestyle management,129,IS,L
Brigham Young University,College,Driver and safety education workshop,Health and lifestyle management,130,2S,L
Brigham Young University,College,Driver and safety education workshop,Health and the aging process,466,2S,U
Brigham Young University,College,Driver and safety education workshop,Health crisis intervention,465,2S,U
Brigham Young University,College,"History, philosophy and foundations of",health,300,2S,U
Brigham Young University,College,Organization and administration of driver,and traffic safety education,444,2S,U
Brigham Young University,College,Organization and administration of driver,Safety education,325,2S,U
Brigham Young University,College,Hebrew,First-year biblical Hebrew,131,"4S, AC",L
Brigham Young University,College,Hebrew,First-year biblical Hebrew,132,4S,L
Brigham Young University,College,History,American family history,398,3S,U
Brigham Young University,College,History,Civil War,377,3S,U
Brigham Young University,College,History,English history to 1689,335,3S,U
