profile_id,business_type_id,naics_code,geography_code,incorporation_status_code,revenue_band,distribution,data_suppressed,partial_suppression
ISED_2024_tire_shop_00_2_30k_5m_total_revenue,tire_shop,441340,00,2,30k_5m,total_revenue,False,False
ISED_2024_tire_shop_00_2_30k_5m_profit_margin,tire_shop,441340,00,2,30k_5m,profit_margin,False,False
ISED_2024_tire_shop_00_3_30k_5m_total_revenue,tire_shop,441340,00,3,30k_5m,total_revenue,False,False
ISED_2024_tire_shop_00_3_30k_5m_profit_margin,tire_shop,441340,00,3,30k_5m,profit_margin,False,True
ISED_2024_tire_shop_48_1_30k_5m_total_revenue,tire_shop,441340,48,1,30k_5m,total_revenue,False,False
ISED_2024_tire_shop_48_1_30k_5m_profit_margin,tire_shop,441340,48,1,30k_5m,profit_margin,False,False
ISED_2024_tire_shop_48_2_30k_5m_total_revenue,tire_shop,441340,48,2,30k_5m,total_revenue,False,False
ISED_2024_tire_shop_48_2_30k_5m_profit_margin,tire_shop,441340,48,2,30k_5m,profit_margin,False,False
ISED_2024_tire_shop_48_3_30k_5m_total_revenue,tire_shop,441340,48,3,30k_5m,total_revenue,False,False
ISED_2024_tire_shop_48_3_30k_5m_profit_margin,tire_shop,441340,48,3,30k_5m,profit_margin,False,True
ISED_2024_hair_salon_00_1_30k_5m_total_revenue,hair_salon,812116,00,1,30k_5m,total_revenue,False,False
ISED_2024_hair_salon_00_1_30k_5m_profit_margin,hair_salon,812116,00,1,30k_5m,profit_margin,False,False
ISED_2024_hair_salon_00_2_30k_5m_total_revenue,hair_salon,812116,00,2,30k_5m,total_revenue,False,False
ISED_2024_hair_salon_00_2_30k_5m_profit_margin,hair_salon,812116,00,2,30k_5m,profit_margin,False,False
ISED_2024_hair_salon_00_3_30k_5m_total_revenue,hair_salon,812116,00,3,30k_5m,total_revenue,False,False
ISED_2024_hair_salon_00_3_30k_5m_profit_margin,hair_salon,812116,00,3,30k_5m,profit_margin,False,True
ISED_2024_hair_salon_48_1_30k_5m_total_revenue,hair_salon,812116,48,1,30k_5m,total_revenue,False,False
ISED_2024_hair_salon_48_1_30k_5m_profit_margin,hair_salon,812116,48,1,30k_5m,profit_margin,False,False
ISED_2024_hair_salon_48_2_30k_5m_total_revenue,hair_salon,812116,48,2,30k_5m,total_revenue,False,False
ISED_2024_hair_salon_48_2_30k_5m_profit_margin,hair_salon,812116,48,2,30k_5m,profit_margin,False,False
ISED_2024_hair_salon_48_3_30k_5m_total_revenue,hair_salon,812116,48,3,30k_5m,total_revenue,False,False
ISED_2024_hair_salon_48_3_30k_5m_profit_margin,hair_salon,812116,48,3,30k_5m,profit_margin,False,True
ISED_2024_beauty_salon_00_1_30k_5m_total_revenue,beauty_salon,812115,00,1,30k_5m,total_revenue,False,False
ISED_2024_beauty_salon_00_1_30k_5m_profit_margin,beauty_salon,812115,00,1,30k_5m,profit_margin,False,False
ISED_2024_beauty_salon_00_2_30k_5m_total_revenue,beauty_salon,812115,00,2,30k_5m,total_revenue,False,False
ISED_2024_beauty_salon_00_2_30k_5m_profit_margin,beauty_salon,812115,00,2,30k_5m,profit_margin,False,False
ISED_2024_beauty_salon_00_3_30k_5m_total_revenue,beauty_salon,812115,00,3,30k_5m,total_revenue,False,False
ISED_2024_beauty_salon_00_3_30k_5m_profit_margin,beauty_salon,812115,00,3,30k_5m,profit_margin,False,True
