naics_code,description_en,description_fr,year
23713,Power and communication line and related structures construction,Construction de lignes de transmission d'énergie électrique et de télécommunication et structures connexes,2024
23721,Land subdivision,Lotissement de terrains,2024
23731,"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2024
23799,Other heavy and civil engineering construction,Autres travaux de génie civil,2024
23811,Poured concrete foundation and structure contractors,Entrepreneurs en travaux de fondations et de structure en béton coulé,2024
23812,Structural steel and precast concrete contractors,Entrepreneurs en montage de charpentes d'acier et mise en place de béton préfabriqué,2024
23813,Framing contractors,Entrepreneurs en charpenterie,2024
23814,Masonry contractors,Entrepreneurs en travaux de maçonnerie,2024
23815,Glass and glazing contractors,Entrepreneurs en travaux de vitrage et de vitrerie,2024
23816,Roofing contractors,Entrepreneurs en travaux de toiture,2024
23817,Siding contractors,Entrepreneurs en travaux de parements,2024
23819,"Other foundation, structure and building exterior contractors","Entrepreneurs en autres travaux de fondations, de structure, et d'extérieur de bâtiment",2024
23821,Electrical contractors and other wiring installation contractors,Entrepreneurs en travaux d'électricité et en installation de câblage,2024
23822,"Plumbing, heating and air-conditioning contractors","Entrepreneurs en plomberie, chauffage et climatisation",2024
23829,Other building equipment contractors,Entrepreneurs en installation d'autres équipements techniques,2024
23831,Drywall and insulation contractors,Entrepreneurs en installation de cloisons sèches et travaux d'isolation,2024
23832,Painting and wall covering contractors,Entrepreneurs en peinture et tapisserie,2024
23833,Flooring contractors,Entrepreneurs en travaux de revêtements de sol,2024
23834,Tile and terrazzo contractors,Entrepreneurs en pose de carreaux et coulage de terrazzo,2024
23835,Finish carpentry contractors,Entrepreneurs en petite menuiserie,2024
23839,Other building finishing contractors,Entrepreneurs en autres travaux de finition de bâtiment,2024
23891,Site preparation contractors,Entrepreneurs en préparation de terrains,2024
23899,All other specialty trade contractors,Tous les autres entrepreneurs spécialisés,2024
31-33,Manufacturing,Fabrication,2024
31111,Animal food manufacturing,Fabrication d'aliments pour animaux,2024
31121,Flour milling and malt manufacturing,Minoterie et malterie,2024
31122,Starch and vegetable fat and oil manufacturing,Amidonnerie et fabrication de graisses et d'huiles végétales,2024
31123,Breakfast cereal manufacturing,Fabrication de céréales pour petit déjeuner,2024
31131,Sugar manufacturing,Fabrication de sucre,2024
31134,Non-chocolate confectionery manufacturing,Fabrication de confiseries non chocolatées,2024
31135,Chocolate and chocolate confectionery manufacturing,Fabrication de chocolat et de confiseries chocolatées,2024
31141,Frozen food manufacturing,Fabrication d'aliments congelés,2024
31142,"Fruit and vegetable canning, pickling and drying","Mise en conserve, marinage et séchage de fruits et de légumes",2024
31151,Dairy product (except frozen) manufacturing,Fabrication de produits laitiers (sauf congelés),2024
31152,Ice cream and frozen dessert manufacturing,Fabrication de crème glacée et de desserts congelés,2024
31161,Animal slaughtering and processing,Abattage et transformation d'animaux,2024
31171,Seafood product preparation and packaging,Préparation et conditionnement de poissons et de fruits de mer,2024
31181,Bread and bakery product manufacturing,Fabrication de pain et de produits de boulangerie,2024
31182,"Cookie, cracker and pasta manufacturing","Fabrication de biscuits, de craquelins et de pâtes alimentaires",2024
31183,Tortilla manufacturing,Fabrication de tortillas,2024
31191,Snack food manufacturing,Fabrication d'aliments à grignoter,2024
31192,Coffee and tea manufacturing,Fabrication de café et de thé,2024
31193,Flavouring syrup and concentrate manufacturing,Fabrication de sirops et de concentrés aromatisants,2024
31194,Seasoning and dressing manufacturing,Fabrication d'assaisonnements et de vinaigrettes,2024
31199,All other food manufacturing,Fabrication de tous les autres aliments,2024
31211,Soft drink and ice manufacturing,Fabrication de boissons gazeuses et de glace,2024
31212,Breweries,Brasseries,2024
31213,Wineries,Vineries,2024
31214,Distilleries,Distilleries,2024
31221,Tobacco stemming and redrying,Écôtage et resséchage des feuilles de tabac,2024
31222,Tobacco product manufacturing,Fabrication de produits du tabac,2024
31231,Cannabis product manufacturing,Fabrication de produits du cannabis,2024
31311,"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2024
31321,Broad-woven fabric mills,Usines de tissus larges,2024
31322,Narrow fabric mills and schiffli machine embroidery,Usines de tissus étroits et de broderies schiffli,2024
31323,Nonwoven fabric mills,Usines de non-tissés,2024
31324,Knit fabric mills,Usines de tricots,2024
31331,Textile and fabric finishing,Finissage de textiles et de tissus,2024
31332,Fabric coating,Revêtement de tissus,2024
31411,Carpet and rug mills,Usines de tapis et de carpettes,2024
31412,Curtain and linen mills,Usines de rideaux et de linge de maison,2024
31491,Textile bag and canvas mills,Usines de sacs en textile et de grosse toile,2024
31499,All other textile product mills,Usines de tous les autres produits textiles,2024
31512,Apparel knitting mills,Usines de tricotage de vêtements,2024
31521,Cut and sew clothing contracting,Fabrication à forfait de vêtements coupés-cousus,2024
31525,Cut and sew apparel manufacturing (except contractors),Fabrication de vêtements coupés-cousus (sauf les entrepreneurs),2024
31599,Clothing accessories and other clothing manufacturing,Fabrication d'accessoires vestimentaires et d'autres vêtements,2024
31611,Leather and hide tanning and finishing,Tannage et finissage du cuir et des peaux,2024
31621,Footwear manufacturing,Fabrication de chaussures,2024
31699,Other leather and allied product manufacturing,Fabrication d'autres produits en cuir et produits analogues,2024
32111,Sawmills and wood preservation,Scieries et préservation du bois,2024
32121,"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2024
32191,Millwork,Fabrication de menuiseries préfabriquées,2024
32192,Wood container and pallet manufacturing,Fabrication de contenants et de palettes en bois,2024
32199,All other wood product manufacturing,Fabrication de tous les autres produits en bois,2024
32211,Pulp mills,Usines de pâte à papier,2024
32212,Paper mills,Usines de papier,2024
32213,Paperboard mills,Usines de carton,2024
32221,Paperboard container manufacturing,Fabrication de contenants en carton,2024
32222,Paper bag and coated and treated paper manufacturing,Fabrication de sacs en papier et de papier couché et traité,2024
32223,Stationery product manufacturing,Fabrication d'articles de papeterie,2024
32229,Other converted paper product manufacturing,Fabrication d'autres produits en papier transformé,2024
32311,Printing,Impression,2024
32312,Support activities for printing,Activités de soutien à l'impression,2024
32411,Petroleum refineries,Raffineries de pétrole,2024
32412,"Asphalt paving, roofing and saturated materials manufacturing","Fabrication d'asphaltage, de papier-toiture asphalté et de matériaux imprégnés d'asphalte",2024
32419,Other petroleum and coal product manufacturing,Fabrication d'autres produits du pétrole et du charbon,2024
32511,Petrochemical manufacturing,Fabrication de produits pétrochimiques,2024
32512,Industrial gas manufacturing,Fabrication de gaz industriels,2024
32513,Synthetic dye and pigment manufacturing,Fabrication de teintures et de pigments synthétiques,2024
32518,Other basic inorganic chemical manufacturing,Fabrication d'autres produits chimiques inorganiques de base,2024
32519,Other basic organic chemical manufacturing,Fabrication d'autres produits chimiques organiques de base,2024
32521,Resin and synthetic rubber manufacturing,Fabrication de résines et de caoutchouc synthétique,2024
32522,Artificial and synthetic fibres and filaments manufacturing,Fabrication de fibres et de filaments artificiels et synthétiques,2024
32531,Fertilizer manufacturing,Fabrication d'engrais,2024
32532,Pesticide and other agricultural chemical manufacturing,Fabrication de pesticides et d'autres produits chimiques agricoles,2024
32541,Pharmaceutical and medicine manufacturing,Fabrication de produits pharmaceutiques et de médicaments,2024
32551,Paint and coating manufacturing,Fabrication de peintures et de revêtements,2024
32552,Adhesive manufacturing,Fabrication d'adhésifs,2024
32561,Soap and cleaning compound manufacturing,Fabrication de savons et d'autres produits nettoyants,2024
32562,Toilet preparation manufacturing,Fabrication de produits de toilette,2024
32591,Printing ink manufacturing,Fabrication d'encre d'imprimerie,2024
32592,Explosives manufacturing,Fabrication d'explosifs,2024
32599,All other chemical product manufacturing,Fabrication de tous les autres produits chimiques,2024
32611,Plastic packaging materials and unlaminated film and sheet manufacturing,Fabrication de matériel d'emballage et de pellicules et feuilles non stratifiées en plastique,2024
32612,"Plastic pipe, pipe fitting, and unlaminated profile shape manufacturing","Fabrication de tuyaux, de raccords de tuyauterie et de profilés non stratifiés en plastique",2024
32613,"Laminated plastic plate, sheet (except packaging), and shape manufacturing","Fabrication de plaques, de feuilles (sauf d'emballage) et de formes stratifiées en plastique",2024
32614,Polystyrene foam product manufacturing,Fabrication de produits en mousse de polystyrène,2024
32615,Urethane and other foam product (except polystyrene) manufacturing,Fabrication de produits en mousse d'uréthane et en d'autres mousses plastiques (sauf de polystyrène),2024
32616,Plastic bottle manufacturing,Fabrication de bouteilles en plastique,2024
32619,Other plastic product manufacturing,Fabrication d'autres produits en plastique,2024
32621,Tire manufacturing,Fabrication de pneus,2024
32622,Rubber and plastic hose and belting manufacturing,Fabrication de tuyaux souples et de courroies en caoutchouc et en plastique,2024
32629,Other rubber product manufacturing,Fabrication d'autres produits en caoutchouc,2024
32711,"Pottery, ceramics and plumbing fixture manufacturing","Fabrication de poteries, d'articles en céramique et d'appareils sanitaires",2024
32712,Clay building material and refractory manufacturing,Fabrication de matériaux de construction en argile et de produits réfractaires,2024
32721,Glass and glass product manufacturing,Fabrication de verre et de produits en verre,2024
32731,Cement manufacturing,Fabrication de ciment,2024
32732,Ready-mix concrete manufacturing,Fabrication de béton préparé,2024
32733,"Concrete pipe, brick and block manufacturing","Fabrication de tuyaux, briques et blocs en béton",2024
32739,Other concrete product manufacturing,Fabrication d'autres produits en béton,2024
32741,Lime manufacturing,Fabrication de chaux,2024
32742,Gypsum product manufacturing,Fabrication de produits en gypse,2024
32791,Abrasive product manufacturing,Fabrication de produits abrasifs,2024
32799,All other non-metallic mineral product manufacturing,Fabrication de tous les autres produits minéraux non métalliques,2024
33111,Iron and steel mills and ferro-alloy manufacturing,Sidérurgie,2024
33121,Iron and steel pipes and tubes manufacturing from purchased steel,Fabrication de tubes et de tuyaux en fer et en acier à partir d'acier acheté,2024
33122,Rolling and drawing of purchased steel,Laminage et étirage d'acier acheté,2024
33131,Alumina and aluminum production and processing,Production et transformation d'alumine et d'aluminium,2024
33141,Non-ferrous metal (except aluminum) smelting and refining,Fonte et affinage de métaux non ferreux (sauf l'aluminium),2024
33142,"Copper rolling, drawing, extruding and alloying","Laminage, étirage, extrusion et alliage du cuivre",2024
33149,"Non-ferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","Laminage, étirage, extrusion et alliage de métaux non ferreux (sauf le cuivre et l'aluminium)",2024
33151,Ferrous metal foundries,Fonderies de métaux ferreux,2024
33152,Non-ferrous metal foundries,Fonderies de métaux non ferreux,2024
33211,Forging and stamping,Forgeage et estampage,2024
33221,Cutlery and hand tool manufacturing,Fabrication de coutellerie et d'outils à main,2024
33231,Plate work and fabricated structural product manufacturing,Fabrication de tôles fortes et d'éléments de charpentes,2024
33232,Ornamental and architectural metal product manufacturing,Fabrication de produits métalliques d'ornement et d'architecture,2024
33241,Power boiler and heat exchanger manufacturing,Fabrication de chaudières et d'échangeurs de chaleur,2024
33242,Metal tank (heavy gauge) manufacturing,Fabrication de réservoirs en métal (épais),2024
33243,"Metal can, box and other metal container (light gauge) manufacturing","Fabrication de canettes, de boîtes et d'autres contenants en métal (mince)",2024
33251,Hardware manufacturing,Fabrication d'articles de quincaillerie,2024
33261,Spring and wire product manufacturing,Fabrication de ressorts et de produits en fil métallique,2024
33271,Machine shops,Ateliers d'usinage,2024
33272,"Turned product and screw, nut and bolt manufacturing","Fabrication de produits tournés, de vis, d'écrous et de boulons",2024
33281,"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2024
33291,Metal valve manufacturing,Fabrication de soupapes en métal,2024
33299,All other fabricated metal product manufacturing,Fabrication de tous les autres produits métalliques,2024
33311,Agricultural implement manufacturing,Fabrication de machines agricoles,2024
33312,Construction machinery manufacturing,Fabrication de machines pour la construction,2024
33313,Mining and oil and gas field machinery manufacturing,Fabrication de machines pour l'extraction minière et l'exploitation pétrolière et gazière,2024
33324,Industrial machinery manufacturing,Fabrication de machines industrielles,2024
33331,Commercial and service industry machinery manufacturing,Fabrication de machines pour le commerce et les industries de services,2024
33341,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2024
33351,Metalworking machinery manufacturing,Fabrication de machines-outils pour le travail du métal,2024
33361,"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2024
33391,Pump and compressor manufacturing,Fabrication de pompes et de compresseurs,2024
33392,Material handling equipment manufacturing,Fabrication de matériel de manutention,2024
33399,All other general-purpose machinery manufacturing,Fabrication de toutes les autres machines d'usage général,2024
33411,Computer and peripheral equipment manufacturing,Fabrication de matériel informatique et périphérique,2024
33421,Telephone apparatus manufacturing,Fabrication de matériel téléphonique,2024
33422,Radio and television broadcasting and wireless communications equipment manufacturing,"Fabrication de matériel de radiodiffusion, de télédiffusion et de communication sans fil",2024
33429,Other communications equipment manufacturing,Fabrication d'autres types de matériel de communication,2024
33431,Audio and video equipment manufacturing,Fabrication de matériel audio et vidéo,2024
33441,Semiconductor and other electronic component manufacturing,Fabrication de semi-conducteurs et d'autres composants électroniques,2024
33451,"Navigational, measuring, medical and control instruments manufacturing","Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",2024
33461,Manufacturing and reproducing magnetic and optical media,Fabrication et reproduction de supports magnétiques et optiques,2024
33513,Electric lighting equipment manufacturing,Fabrication de matériel électrique d'éclairage,2024
33521,Small electrical appliance manufacturing,Fabrication de petits appareils électroménagers,2024
33522,Major appliance manufacturing,Fabrication de gros appareils ménagers,2024
33531,Electrical equipment manufacturing,Fabrication de matériel électrique,2024
33591,Battery manufacturing,Fabrication de batteries et de piles,2024
33592,Communication and energy wire and cable manufacturing,Fabrication de fils et de câbles électriques et de communication,2024
33593,Wiring device manufacturing,Fabrication de dispositifs de câblage,2024
33599,All other electrical equipment and component manufacturing,Fabrication de tous les autres types de matériel et composants électriques,2024
33611,Automobile and light-duty motor vehicle manufacturing,Fabrication de voitures et de véhicules automobiles légers,2024
33612,Heavy-duty truck manufacturing,Fabrication de camions lourds,2024
33621,Motor vehicle body and trailer manufacturing,Fabrication de carrosseries et de remorques de véhicules automobiles,2024
33631,Motor vehicle gasoline engine and engine parts manufacturing,Fabrication de moteurs et de pièces de moteurs à essence pour véhicules automobiles,2024
33632,Motor vehicle electrical and electronic equipment manufacturing,Fabrication de matériel électrique et électronique pour véhicules automobiles,2024
33633,Motor vehicle steering and suspension components (except spring) manufacturing,Fabrication de composants de direction et de suspension pour véhicules automobiles (sauf les ressorts),2024
33634,Motor vehicle brake system manufacturing,Fabrication de systèmes de freinage pour véhicules automobiles,2024
33635,Motor vehicle transmission and power train parts manufacturing,Fabrication de pièces de transmission et de groupe motopropulseur pour véhicules automobiles,2024
33636,Motor vehicle seating and interior trim manufacturing,Fabrication de sièges et enjolivures intérieures pour véhicules automobiles,2024
33637,Motor vehicle metal stamping,Emboutissage de pièces en métal pour véhicules automobiles,2024
33639,Other motor vehicle parts manufacturing,Fabrication d'autres pièces pour véhicules automobiles,2024
33641,Aerospace product and parts manufacturing,Fabrication de produits aérospatiaux et de leurs pièces,2024
33651,Railroad rolling stock manufacturing,Fabrication de matériel ferroviaire roulant,2024
33661,Ship and boat building,Construction de navires et d'embarcations,2024
33699,Other transportation equipment manufacturing,Fabrication d'autres types de matériel de transport,2024
33711,Wood kitchen cabinet and counter top manufacturing,Fabrication d'armoires et de comptoirs de cuisine en bois,2024
33712,Household and institutional furniture manufacturing,Fabrication de meubles de maison et d'établissement institutionnel,2024
33721,Office furniture (including fixtures) manufacturing,Fabrication de meubles de bureau (y compris les articles d'ameublement),2024
33791,Mattress manufacturing,Fabrication de matelas,2024
33792,Blind and shade manufacturing,Fabrication de stores et de persiennes,2024
33911,Medical equipment and supplies manufacturing,Fabrication de fournitures et de matériel médicaux,2024
33991,Jewellery and silverware manufacturing,Fabrication de bijoux et de pièces d'argenterie,2024
33992,Sporting and athletic goods manufacturing,Fabrication d'articles de sport et d'athlétisme,2024
33993,"Doll, toy and game manufacturing","Fabrication de poupées, de jouets et de jeux",2024
33994,Office supplies (except paper) manufacturing,Fabrication de fournitures de bureau (sauf la papeterie),2024
33995,Sign manufacturing,Fabrication d'enseignes,2024
33999,All other miscellaneous manufacturing,Toutes les autres activités diverses de fabrication,2024
41111,Live animal merchant wholesalers,Grossistes-marchands d'animaux vivants,2024
41112,Oilseed and grain merchant wholesalers,Grossistes-marchands de graines oléagineuses et de grains céréaliers,2024
41113,Nursery stock and plant merchant wholesalers,Grossistes-marchands de produits et plantes de pépinières,2024
41119,Other farm product merchant wholesalers,Grossistes-marchands d'autres produits agricoles,2024
41211,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers","Grossistes-marchands de pétrole, de produits pétroliers, et d'autres hydrocarbures",2024
41311,General-line food merchant wholesalers,Grossistes-marchands de gamme complète d'aliments,2024
41312,Dairy and milk products merchant wholesalers,Grossistes-marchands de produits laitiers,2024
41313,Poultry and egg merchant wholesalers,Grossistes-marchands de volailles et d'oeufs,2024
41314,Fish and seafood product merchant wholesalers,Grossistes-marchands de poissons et de fruits de mer,2024
41315,Fresh fruit and vegetable merchant wholesalers,Grossistes-marchands de fruits et légumes frais,2024
41316,Red meat and meat product merchant wholesalers,Grossistes-marchands de viandes rouges et de produits de viande,2024
41319,Other specialty-line food merchant wholesalers,Grossistes-marchands d'autres gammes spécialisées d'aliments,2024
41321,Non-alcoholic beverage merchant wholesalers,Grossistes-marchands de boissons non alcoolisées,2024
41322,Alcoholic beverage merchant wholesalers,Grossistes-marchands de boissons alcoolisées,2024
41331,Cigarette and tobacco product merchant wholesalers,Grossistes-marchands de cigarettes et de produits du tabac,2024
41341,Cannabis merchant wholesalers,Grossistes-marchands de cannabis,2024
41411,Clothing and clothing accessories merchant wholesalers,Grossistes-marchands de vêtements et d'accessoires vestimentaires,2024
41412,Footwear merchant wholesalers,Grossistes-marchands de chaussures,2024
41413,"Piece goods, notions and other dry goods merchant wholesalers",Grossistes-marchands de tissus à la pièce et d'articles de mercerie,2024
41421,Home entertainment equipment merchant wholesalers,Grossistes-marchands de matériel de divertissement au foyer,2024
41422,Household appliance merchant wholesalers,Grossistes-marchands d'appareils ménagers,2024
41431,"China, glassware, crockery and pottery merchant wholesalers","Grossistes-marchands de porcelaine, verrerie, faïence et poterie",2024
41432,Floor covering merchant wholesalers,Grossistes-marchands de revêtements de sol,2024
41433,"Linen, drapery and other textile furnishings merchant wholesalers","Grossistes-marchands de linge de maison, de tentures et d'autres textiles domestiques",2024
41439,Other home furnishings merchant wholesalers,Grossistes-marchands d'autres accessoires de maison,2024
41441,Jewellery and watch merchant wholesalers,Grossistes-marchands de bijoux et de montres,2024
41442,"Book, periodical and newspaper merchant wholesalers","Grossistes-marchands de livres, de périodiques et de journaux",2024
41443,Photographic equipment and supplies merchant wholesalers,Grossistes-marchands de matériel et fournitures photographiques,2024
41444,Sound recording merchant wholesalers,Grossistes-marchands d'enregistrements sonores,2024
41445,Video recording merchant wholesalers,Grossistes-marchands d'enregistrements vidéo,2024
41446,Toy and hobby goods merchant wholesalers,Grossistes-marchands de jouets et d'articles de passe-temps,2024
41447,Amusement and sporting goods merchant wholesalers,Grossistes-marchands d'articles de divertissement et de sport,2024
41451,Pharmaceuticals and pharmacy supplies merchant wholesalers,Grossistes-marchands de produits et fournitures pharmaceutiques,2024
41452,"Toiletries, cosmetics and sundries merchant wholesalers","Grossistes-marchands d'articles de toilette, de cosmétiques et d'articles divers",2024
41511,New and used automobile and light-duty truck merchant wholesalers,Grossistes-marchands d'automobiles et de camions légers neufs et d'occasion,2024
41512,"Truck, truck tractor and bus merchant wholesalers","Grossistes-marchands de camions, de tracteurs routiers et d'autobus",2024
41519,Recreational and other motor vehicles merchant wholesalers,Grossistes-marchands de véhicules de plaisance et d'autres véhicules automobiles,2024
41521,Tire merchant wholesalers,Grossistes-marchands de pneus,2024
41529,Other new motor vehicle parts and accessories merchant wholesalers,Grossistes-marchands d'autres pièces et d'accessoires neufs pour véhicules automobiles,2024
41531,Used motor vehicle parts and accessories merchant wholesalers,Grossistes-marchands de pièces et d'accessoires d'occasion pour véhicules automobiles,2024
41611,Electrical wiring and construction supplies merchant wholesalers,Grossistes-marchands de fils et de fournitures électriques de construction,2024
41612,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers","Grossistes-marchands de matériel et fournitures de plomberie, de chauffage et de climatisation",2024
41621,Metal service centres,Grossistes-distributeurs de métaux et de produits métalliques,2024
41631,General-line building supplies merchant wholesalers,Grossistes-marchands d'une gamme générale de fournitures de construction,2024
41632,"Lumber, plywood and millwork merchant wholesalers","Grossistes-marchands de bois d'oeuvre, de contreplaqués et de menuiseries préfabriquées",2024
41633,Hardware merchant wholesalers,Grossistes-marchands d'articles de quincaillerie,2024
41634,"Paint, glass and wallpaper merchant wholesalers","Grossistes-marchands de peintures, de vitres et de papier peint",2024
41639,Other specialty-line building supplies merchant wholesalers,Grossistes-marchands de gammes spécialisées de fournitures de construction,2024
41711,"Farm, lawn and garden machinery and equipment merchant wholesalers","Grossistes-marchands de machines et matériel pour l'agriculture, l'entretien des pelouses et le jardinage",2024
41721,"Construction and forestry machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, matériel et fournitures pour la construction et la foresterie",2024
41722,"Mining and oil and gas well machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, matériel et fournitures pour l'extraction minière, pétrolière et gazière",2024
41723,"Industrial machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, matériel et fournitures industriels",2024
41731,"Computer, computer peripheral and pre-packaged software merchant wholesalers","Grossistes-marchands d'ordinateurs, de périphériques et de logiciels de série",2024
41732,"Electronic components, navigational and communications equipment and supplies merchant wholesalers","Grossistes-marchands de composants électroniques, et de matériel et fournitures de navigation et de communication",2024
41791,Office and store machinery and equipment merchant wholesalers,Grossistes-marchands de machines et matériel de bureau et de magasin,2024
41792,"Service establishment machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, matériel et fournitures d'établissements de service",2024
41793,"Professional machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",2024
41799,"All other machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de tous les autres machines, matériel et fournitures",2024
41811,Recyclable metal merchant wholesalers,Grossistes-marchands de métaux recyclables,2024
41812,Recyclable paper and paperboard merchant wholesalers,Grossistes-marchands de papier et carton recyclables,2024
41819,Other recyclable material merchant wholesalers,Grossistes-marchands d'autres matières recyclables,2024
41821,Stationery and office supplies merchant wholesalers,Grossistes-marchands de papeterie et de fournitures de bureau,2024
41822,Other paper and disposable plastic product merchant wholesalers,Grossistes-marchands d'autres papiers et de produits en plastique jetables,2024
41831,Agricultural feed merchant wholesalers,Grossistes-marchands d'aliments pour animaux d'élevage,2024
41832,Seed merchant wholesalers,Grossistes-marchands de semences,2024
41839,Agricultural chemical and other farm supplies merchant wholesalers,Grossistes-marchands de produits chimiques et autres fournitures agricoles,2024
41841,Chemical (except agricultural) and allied product merchant wholesalers,Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles),2024
41851,"Mineral, ore and precious metal merchant wholesalers","Grossistes-marchands de minéraux, de minerais et de métaux précieux",2024
41861,"Log, wood chips, and other wood products merchant wholesalers","Grossistes-marchands de billes, copeaux et autres produits de bois",2024
41893,Second-hand goods (except machinery and automotive) merchant wholesalers,Grossistes-marchands de marchandises d'occasion (sauf les machines et les produits automobiles),2024
41899,All other merchant wholesalers,Tous les autres grossistes-marchands,2024
41911,Business-to-business electronic markets,Commerce électronique de gros entre entreprises,2024
41912,Wholesale trade agents and brokers,Agents et courtiers du commerce de gros,2024
44-45,Retail trade,Commerce de détail,2024
44111,New car dealers,Concessionnaires d'automobiles neuves,2024
44112,Used car dealers,Concessionnaires d'automobiles d'occasion,2024
44121,Recreational vehicle dealers,Concessionnaires de véhicules récréatifs,2024
44122,"Motorcycle, boat and other motor vehicle dealers","Concessionnaires de motocyclettes, de bateaux et d'autres véhicules automobiles",2024
44133,Automotive parts and accessories retailers,Détaillants de pièces et d'accessoires pour véhicules automobiles,2024
44134,Tire dealers,Marchands de pneus,2024
44411,Home centres,Centres de rénovation,2024
44412,Paint and wallpaper retailers,Détaillants de peinture et de papier peint,2024
44414,Hardware retailers,Quincailleries,2024
44418,Other building material dealers,Autres marchands de matériaux de construction,2024
44423,Outdoor power equipment retailers,Détaillants de matériel motorisé pour l'extérieur,2024
44424,Nursery retailers and garden centres,Pépinières et centres de jardinage,2024
44511,Supermarkets and other grocery retailers (except Convenience retailers),Supermarchés et autres épiceries (sauf les dépanneurs),2024
44513,Convenience retailers and vending machine operators,Dépanneurs et exploitants de distributeurs automatiques,2024
44523,Fruit and vegetable markets,Marchés de fruits et de légumes,2024
44524,Meat markets,Boucheries,2024
44525,Fish and seafood markets,Poissonneries,2024
44529,Other specialty food retailers,Autres détaillants d'alimentation spécialisés,2024
44532,"Beer, wine and liquor retailers","Détaillants de bière, de vin et de spiritueux",2024
44911,Furniture retailers,Détaillants de meubles,2024
44912,"Floor covering, window treatment and other home furnishing retailers","Détaillants de revêtements de sol, garnitures de fenêtres et autres accessoires de maison",2024
44921,Electronics and appliances retailers,Détaillants d'appareils électroniques et ménagers,2024
45511,Department stores,Grands détaillants,2024
45521,"Warehouse clubs, Supercentres and other general merchandise retailers","Clubs-entrepôts, supercentres et autres détaillants de marchandises diverses",2024
45611,Pharmacies and drug stores,Pharmacies,2024
45612,"Cosmetics, beauty supplies and perfume retailers","Détaillants de cosmétiques, de produits de beauté et de parfums",2024
45613,Optical goods retailers,Détaillants de produits optiques,2024
45619,Other health and personal care retailers,Détaillants d'autres produits de santé et de soins personnels,2024
45711,Gasoline stations with convenience stores,Stations-service avec dépanneurs,2024
45712,Other gasoline stations,Autres stations-service,2024
45721,Fuel dealers,Marchands de combustibles,2024
45811,Clothing and clothing accessories retailers,Détaillants de vêtements et d'accessoires vestimentaires,2024
45821,Shoe retailers,Détaillants de chaussures,2024
45831,Jewellery retailers,Bijouteries,2024
45832,Luggage and leather goods retailers,Détaillants de bagages et de maroquinerie,2024
45911,Sporting goods retailers,Détaillants d'articles de sport,2024
45912,"Hobby, toy and game retailers","Détaillants d'articles de passe-temps, de jouets et de jeux",2024
45913,"Sewing, needlework and piece goods retailers",Détaillants d'articles de couture et de travaux d'aiguille et de tissus à la pièce,2024
45914,Musical instrument and supplies retailers,Détaillants d'instruments et de fournitures de musique,2024
45921,Book retailers and news dealers,Librairies et marchands de journaux,2024
45931,Florists,Fleuristes,2024
45941,Office supplies and stationery retailers,Détaillants de fournitures de bureau et de papeterie,2024
45942,"Gift, novelty and souvenir retailers","Détaillants de cadeaux, d'articles de fantaisie et de souvenirs",2024
45951,Used merchandise retailers,Détaillants de marchandises d'occasion,2024
45991,Pet and pet supplies retailers,Animaleries et détaillants de fournitures pour animaux,2024
45992,Art dealers,Marchands d'oeuvres d'art,2024
45993,Manufactured (mobile) home dealers,Marchands de maisons préfabriquées (mobiles),2024
45999,All other miscellaneous retailers,Tous les autres détaillants de détail divers,2024
48-49,Transportation and warehousing,Transport et entreposage,2024
48111,Scheduled air transportation,Transport aérien régulier,2024
48121,Non-scheduled air transportation,Transport aérien non régulier,2024
48211,Rail transportation,Transport ferroviaire,2024
48311,"Deep sea, coastal and Great Lakes water transportation","Transport hauturier, côtier et sur les Grands Lacs",2024
48321,Inland water transportation,Transport sur les eaux intérieures,2024
48411,"General freight trucking, local",Transport local par camion de marchandises diverses,2024
48412,"General freight trucking, long distance",Transport par camion de marchandises diverses sur de longues distances,2024
48421,Used household and office goods moving,Déménagement de biens usagés de maison et de bureau,2024
48422,"Specialized freight (except used goods) trucking, local",Transport local par camion de marchandises spéciales (sauf les biens usagés),2024
