naics_code,description_en,description_fr,year
533,Lessors of non-financial intangible assets (except copyrighted works),Bailleurs de biens incorporels non financiers (sauf les oeuvres protégées par le droit d'auteur),2024
541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques",2024
551,Management of companies and enterprises,Gestion de sociétés et d'entreprises,2024
561,Administrative and support services,Services administratifs et services de soutien,2024
562,Waste management and remediation services,Services de gestion des déchets et d'assainissement,2024
611,Educational services,Services d'enseignement,2024
621,Ambulatory health care services,Services de soins de santé ambulatoires,2024
622,Hospitals,Hôpitaux,2024
623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes,2024
624,Social assistance,Assistance sociale,2024
711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes",2024
712,Heritage institutions,Établissements du patrimoine,2024
713,"Amusement, gambling and recreation industries","Divertissement, loisirs, jeux de hasard et loteries",2024
721,Accommodation services,Services d'hébergement,2024
722,Food services and drinking places,Services de restauration et débits de boissons,2024
811,Repair and maintenance,Réparation et entretien,2024
812,Personal and laundry services,Services personnels et services de blanchissage,2024
813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires",2024
814,Private households,Ménages privés,2024
911,Federal government public administration,Administration publique fédérale,2024
912,Provincial and territorial public administration,Administrations publiques provinciales et territoriales,2024
913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales",2024
914,Indigenous public administration,Administrations publiques autochtones,2024
919,International and other extra-territorial public administration,Organismes publics internationaux et autres organismes publics extra-territoriaux,2024
1111,Oilseed and grain farming,Culture de plantes oléagineuses et de céréales,2024
1112,Vegetable and melon farming,Culture de légumes et de melons,2024
1113,Fruit and tree nut farming,Culture de fruits et de noix,2024
1114,"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2024
1119,Other crop farming,Autres cultures agricoles,2024
1121,Cattle ranching and farming,Élevage de bovins,2024
1122,Hog and pig farming,Élevage de porcs,2024
1123,Poultry and egg production,Élevage de volailles et production d'oeufs,2024
1124,Sheep and goat farming,Élevage de moutons et de chèvres,2024
1125,Aquaculture,Aquaculture,2024
1129,Other animal production,Autres types d'élevage,2024
1131,Timber tract operations,Exploitation de terres à bois,2024
1132,Forest nurseries and gathering of forest products,Pépinières forestières et récolte de produits forestiers,2024
1133,Logging,Exploitation forestière,2024
1141,Fishing,Pêche,2024
1142,Hunting and trapping,Chasse et piégeage,2024
1151,Support activities for crop production,Activités de soutien aux cultures agricoles,2024
1152,Support activities for animal production,Activités de soutien à l'élevage,2024
1153,Support activities for forestry,Activités de soutien à la foresterie,2024
2111,Oil and gas extraction,Extraction de pétrole et de gaz,2024
2121,Coal mining,Extraction de charbon,2024
2122,Metal ore mining,Extraction de minerais métalliques,2024
2123,Non-metallic mineral mining and quarrying,Extraction de minerais non métalliques,2024
2131,"Support activities for mining, and oil and gas extraction","Activités de soutien à l'extraction minière, pétrolière et gazière",2024
2211,"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2024
2212,Natural gas distribution,Distribution de gaz naturel,2024
2213,"Water, sewage and other systems",Réseaux d'aqueduc et d'égout et autres,2024
2361,Residential building construction,Construction résidentielle,2024
2362,Non-residential building construction,Construction non résidentielle,2024
2371,Utility system construction,Construction d'installations de services publics,2024
2372,Land subdivision,Lotissement de terrains,2024
2373,"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2024
2379,Other heavy and civil engineering construction,Autres travaux de génie civil,2024
2381,"Foundation, structure, and building exterior contractors","Entrepreneurs en travaux de fondations, de structure, et d'extérieur de bâtiment",2024
2382,Building equipment contractors,Entrepreneurs en installation d'équipements techniques,2024
2383,Building finishing contractors,Entrepreneurs en travaux de finition de bâtiments,2024
2389,Other specialty trade contractors,Autres entrepreneurs spécialisés,2024
3111,Animal food manufacturing,Fabrication d'aliments pour animaux,2024
3112,Grain and oilseed milling,Mouture de grains céréaliers et de graines oléagineuses,2024
3113,Sugar and confectionery product manufacturing,Fabrication de sucre et de confiseries,2024
3114,Fruit and vegetable preserving and specialty food manufacturing,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,2024
3115,Dairy product manufacturing,Fabrication de produits laitiers,2024
3116,Meat product manufacturing,Fabrication de produits de viande,2024
