node_id,source_code,label,definition,children_codes
CA_NAPCS_2022_521,521,Passenger transportation services (including sightseeing),"This group comprises urban transit services; taxi and limousine services; interurban and rural bus passenger transportation services; school bus services; other transit and passenger transportation services by road; rail passenger transportation services; water passenger transportation services; air passenger transportation services; and scenic and sightseeing tour services. Rental and leasing services of passenger vehicles with operator, driver or crew are included.",52111|52121|52122|52123|52124|52131|52141|52151|52161
CA_NAPCS_2022_531,531,Transportation support services,"This group comprises road transportation support services; motor vehicle maintenance and repair services; rail transportation support, maintenance and repair services; water transportation support, maintenance and repair services; air transportation support services; aircraft maintenance and repair services; freight transportation arrangement and customs brokering services; and other transportation support services.",53111|53112|53121|53131|53141|53142|53151|53152
CA_NAPCS_2022_541,541,Warehousing and storage services,This group comprises grain storage services and warehousing and storage services for other goods.,54111|54112
CA_NAPCS_2022_551,551,Wholesale services (except commissions),"This group comprises the services of buying and selling merchandise on own account at an intermediate step in the distribution chain. Wholesale services bundled with services incidental to the own account sale of merchandise such as logistics, inventory management, marketing services, packaging and labeling, handling of warranty claims, in-store or co-op promotions, and product training are also included.",55111|55112|55113|55114|55115|55116|55117|55118|55119|55121
CA_NAPCS_2022_552,552,Wholesale trade commissions,This group comprises the services of arranging the buying or selling of merchandise for others on a commission basis at an intermediate step in the distribution chain.,55211
CA_NAPCS_2022_561,561,Retail services (except commissions),"This group comprises the services of buying and selling merchandise on own account at the final step in the distribution chain, and rendering services incidental to the retail sale of merchandise; the services are provided in-store, on-line or in vending machines.",56111|56113|56121|56123|56124|56131|56141|56142|56143|56151|56152|56153|56161|56171|56172|56181|56191
CA_NAPCS_2022_562,562,Retail trade commissions,This group comprises the service of selling and renting merchandise for others on a commission basis at the final step in the distribution process.,56211
CA_NAPCS_2022_571,571,Repair and maintenance services (except for buildings and transportation equipment),"This group comprises repair and maintenance services, except for buildings and transportation equipment. Covers maintenance and repair services for commercial and industrial machinery and equipment; maintenance and repair services for electronic and precision equipment; and maintenance and repair services for personal and household goods.",57111
CA_NAPCS_2022_581,581,Rental and leasing (except rental of real estate),"This group comprises rentals and operating leases of motor vehicles (except with operator or driver); computer equipment; office furniture and equipment; communication equipment, commercial and industrial machinery and equipment (except with operator); and other goods.",58111|58121|58122|58131|58141
CA_NAPCS_2022_621,621,Residential buildings,"This group comprises residential buildings.

A residential building refers to a construction in which at least half of the overall useful floor area is used or intended for residential or private dwelling purposes, whether on a permanent basis or not. Residential buildings normally provide accommodation units or residential building units with self-contained and exclusive use of bathroom and kitchen facilities to the occupants of each unit. At least half of the useful floor area must be used or intended for dwelling units, in the case of apartment buildings. A residential building unit is a structurally separated and independent place.
A group of three row houses that are attached is considered to be three separate buildings if their external walls or dividing walls extend from the foundations to the roof.

Residential buildings constructed entirely at the building site, as well as on-site fully assembled precast, panelized, modular and other prefabricated residential buildings are included in this group. Unassembled prefabricated residential buildings built in a factory, and manufactured or fully assembled residential buildings built in a factory and delivered ready for move-in, are excluded from this group.

A building for which the majority of the overall useful floor area is used or intended for dwelling units with shared bathroom and kitchen, or that area is used primarily to offer care and other assisted living services, is classified as a ""collective dwelling-type building"" under the non-residential buildings group.

A building refers to any independent free-standing permanent structure comprising one or more residential dwelling units, business units or other spaces. A building can be entered by persons or animals and is suitable or intended for protecting them and objects. A building is covered by a roof and is usually enclosed within external walls or dividing walls that extend from the foundations to the roof. In the case of interconnected structures (e.g., semi-detached or terraced houses), any unit separated from other units by a fire wall extending from roof to cellar is considered an individual building. If there is no fire wall, the interconnected building units are regarded as individual buildings if they have their own access (own entrance) as well as their own utility system and are separately usable.",62111
